y,rr,eta,pt
1,0.768427,4.188371,1.501353
1,1.043391,8.169004,3.137550
0,0.417285,4.519425,-0.558929
1,-0.813766,2.694389,0.533102
0,0.014432,-1.809786,-1.206741
0,1.329614,7.620916,-0.158046
1,0.368200,2.033411,0.183616
0,1.324267,3.792628,0.756471
1,1.372661,20.829862,0.016340
1,0.851056,21.087410,0.600109
1,0.952039,21.446636,0.655505
1,0.988143,21.592430,1.279534
1,-0.087972,18.967719,1.521860
1,1.049351,7.498440,-0.298892
1,0.735119,17.869284,0.371744
0,0.109252,-1.442446,-1.133942
1,-0.536746,17.348113,1.259633
0,-0.785061,-3.604933,-0.919549
1,0.399637,3.600292,1.207677
1,1.106956,2.566114,0.323481
1,0.819753,1.178046,-0.087601
1,0.432611,-0.570687,-0.557072
1,1.033123,2.593353,1.075774
0,0.526039,-1.021530,-1.047747
0,-0.051035,1.117736,0.351966
1,-0.907352,0.982456,0.119766
1,-0.327306,-3.430471,-1.082253
1,-1.018989,15.220146,0.709670
0,1.212259,2.946127,0.977208
1,-2.278019,-2.762018,0.742930
1,-0.676230,3.602982,2.083128
0,1.067831,2.861799,0.602921
1,-0.998251,-1.259694,-0.665591
1,-1.551401,-5.619948,-0.847911
0,0.223605,-0.314013,0.020338
0,-0.177508,0.327573,-0.545065
0,-0.022569,1.797709,-1.008611
0,-0.141774,6.084050,1.000910
1,0.193708,12.918563,0.942817
0,-0.778545,-3.244708,-0.090548
1,1.324569,0.603489,-0.858607
0,0.712776,-0.787512,-1.243026
1,-0.000161,-1.744140,-0.541194
0,0.726720,0.046201,-0.692814
0,-0.331623,-2.136192,-0.770635
0,-0.830676,-4.458583,-0.830762
0,-1.529060,-3.317427,-0.481846
0,-0.159198,-2.000661,-1.006684
0,1.110246,3.428224,-0.862907
0,-1.105415,-3.746730,-0.997075
0,-0.212288,-2.462449,-0.632450
0,-0.389634,-0.869094,0.217097
1,0.884510,0.631883,0.002821
0,0.476795,-0.089851,-0.308877
0,0.050886,-3.278437,-1.108282
0,-1.571731,-6.496072,-0.823042
1,-0.657265,-4.366638,-1.098856
0,0.213357,-1.858887,-0.436818
0,-0.596835,-1.248736,-0.833663
1,0.806957,2.906313,-1.236095
1,-0.762304,-0.851056,-0.241965
1,0.976782,20.136807,0.294054
0,0.072281,-3.190802,-1.680778
1,-2.223308,2.798770,0.340570
1,0.072894,-2.918473,-0.901305
1,-0.951404,-1.138538,1.105257
1,0.312272,2.213407,1.007356
1,0.107820,1.168169,1.859620
0,-1.239564,-5.818662,-0.989708
