y,rr,eta,pt
0,2.056579,8.805419,-0.342277
0,1.919362,6.099314,-0.046940
0,3.200497,19.942874,0.412715
0,0.741346,0.383817,-0.795676
0,-0.265298,0.196124,1.000042
0,-1.000317,-3.178732,0.070832
0,-1.237765,0.474742,2.100379
0,0.878441,0.554785,-0.939622
0,2.629557,12.664020,3.136961
0,0.293644,0.076235,-1.104773
0,0.212201,0.353073,-0.757425
0,0.059614,-1.917682,-1.084115
0,1.121196,1.772588,-0.561333
0,0.653497,2.887516,0.152124
0,0.102453,-0.968030,-0.508954
0,1.491129,4.693104,-0.200799
0,1.085813,4.804666,1.604386
0,1.890675,6.376796,-0.752730
0,1.529335,5.792229,0.486651
0,-0.148765,-1.732828,-0.557600
0,-1.235139,-2.011543,1.327650
0,2.747639,12.340903,2.687503
0,1.723648,7.879136,0.606312
0,-0.775955,1.609021,2.954518
0,-0.044747,-0.302174,0.233360
0,-1.280458,-4.547586,-0.340463
0,-1.513996,-0.360100,3.003780
0,0.949345,6.311992,1.003084
0,-0.735317,-1.764967,-0.410501
0,-0.010611,-1.777052,-0.852475
0,0.975293,3.543286,0.942990
0,-0.328734,1.527661,1.090073
0,0.152477,0.452946,0.378595
0,2.208052,8.632905,1.153938
0,-0.825477,0.939606,1.633382
0,-1.387057,-1.180247,2.193464
0,-1.199637,-3.867954,-0.024796
1,0.977025,3.706274,1.052456
0,2.080580,4.714695,-0.360743
0,-0.179229,-2.842787,-1.267359
0,-0.577231,0.651755,0.959338
0,2.316919,12.530105,3.642340
0,0.372998,-0.674907,-0.823649
0,0.506833,1.334607,0.310815
0,-0.436530,-1.744679,-0.015339
1,0.084356,2.288449,1.778970
0,0.177234,-1.501094,-1.020853
0,-0.340083,-1.843349,-0.268106
0,-0.595051,-2.842207,-0.471539
0,2.355173,9.426145,1.421392
0,3.079016,11.187185,1.255308
0,0.052446,-0.405022,-0.023726
0,-0.824604,2.221955,3.471696
0,-1.474647,-3.468277,0.777820
0,2.936820,12.339894,-0.533080
0,-1.172643,-4.023947,-0.184371
0,-1.480494,-3.337515,-0.073183
0,-1.907532,-4.837804,0.658240
0,3.149518,11.430818,1.289027
0,0.640712,1.383576,-0.864064
0,0.303031,-0.900424,-0.845855
0,-0.329885,-1.315099,0.077907
0,0.393305,-0.465278,-0.717443
1,-0.082896,1.432471,1.506615
0,-0.312680,-2.590551,-0.837548
0,1.097613,2.829945,0.215414
0,-0.417983,-3.516602,-1.276894
0,1.362379,3.271065,0.014177
0,-1.379772,-3.511857,0.566181
0,1.918960,4.595240,0.818428
0,-1.815634,-1.545389,0.855288
0,0.974999,2.880474,-0.467746
0,1.024969,0.860551,-1.008341
0,-1.016929,-0.494004,0.054959
0,-0.288841,-0.872724,0.305493
0,2.020498,5.715434,0.446643
1,-1.104876,-2.054101,1.049024
0,-0.179708,-1.490786,-0.330931
0,1.783674,6.469506,1.421437
0,0.946847,3.941647,0.320381
0,0.302378,0.681870,0.250255
0,0.188117,-0.271289,-1.143380
0,-0.463266,-1.451034,0.238989
0,-0.978453,-0.588556,0.868601
0,0.155225,-1.211012,-0.778030
0,-0.304646,-1.119673,0.164851
0,2.702280,18.088054,3.892984
0,1.197661,1.898662,-0.620363
0,1.310873,3.295403,0.129544
0,1.217095,1.148465,-1.176634
0,2.533923,11.679571,2.638712
0,2.958467,14.335177,3.664143
0,-1.202112,-4.878666,-0.719420
0,0.809085,3.970176,1.556313
0,-0.640065,-2.433134,-0.102376
0,-3.225308,-6.609913,1.952791
0,-0.087442,-0.354435,-0.673801
0,2.373586,9.657162,0.593354
0,1.117239,5.316655,1.898540
0,0.327875,-0.518241,-0.628930
0,0.723847,5.111067,2.508798
0,-0.376320,-0.540848,0.702471
0,2.237712,13.556334,5.456615
0,0.053037,1.649960,1.397080
0,-0.627583,-3.388911,-0.787597
0,0.408982,3.516091,1.054793
0,-1.486484,-3.218232,0.020813
0,-0.419424,-1.599834,0.052163
0,0.353236,-0.194685,-0.453560
0,2.898796,13.190981,3.939235
0,-0.006509,-1.312254,-0.538707
0,-0.537302,-3.789972,-1.237807
0,2.423378,8.658370,1.712332
0,-0.554916,-3.501549,-1.004542
0,1.620607,4.912641,-0.296568
0,1.786961,4.635937,0.146419
0,0.570434,2.368019,0.904217
0,-1.272224,-6.733189,-0.915864
0,3.096712,10.947464,2.008253
0,-0.077403,-2.572007,-1.274775
0,-0.636216,-1.776105,0.344891
0,2.062973,5.303772,0.080546
0,1.011515,3.630580,-0.018563
0,1.989839,7.853745,1.984886
0,-0.499311,-2.928180,-0.714165
0,0.067739,-2.145913,-1.257580
0,0.175952,0.019385,0.033690
0,-0.590881,4.398001,1.672312
0,-0.172289,1.268530,1.564174
0,0.681685,2.013657,0.446208
0,2.245172,7.921711,0.590825
0,2.858407,11.050225,2.535207
0,-0.673933,-2.625677,-0.170819
1,-2.035840,-0.611620,3.827968
0,-0.507276,-2.380784,-0.320161
0,0.541621,1.790004,0.559379
0,2.366667,8.366752,1.619030
0,-1.097302,-1.871917,0.207930
0,0.606950,1.086754,-0.052199
0,0.756120,4.315830,0.944135
0,-0.595978,-3.855372,-0.218151
0,-0.308179,1.329190,0.913421
0,1.647312,3.429463,-0.421262
0,1.033901,2.605498,0.181983
0,-0.572383,-1.815251,0.195698
0,0.149120,-1.177807,-0.743377
0,-0.445974,-2.468316,-0.497993
0,0.599339,1.399723,0.178918
0,-0.349262,0.573160,1.421544
0,-2.495594,-6.440703,0.674016
0,0.614368,4.636681,2.389968
0,0.241147,0.850993,0.484407
0,-0.832704,-1.843007,-0.278211
0,0.164783,-0.811919,-0.520163
0,-0.324156,1.525717,1.079969
0,0.234172,-0.145415,-0.191712
0,-0.636741,-3.137649,-0.596219
0,0.632610,2.058850,0.571354
0,-0.281144,-3.084933,-1.239959
0,0.938937,6.153373,-0.039430
0,-0.433678,-2.884445,-0.809452
0,0.286977,-0.362231,-0.442746
0,-0.614850,-2.080125,0.093654
0,2.900694,10.958738,1.438345
0,-0.534051,-1.773592,0.151200
0,2.883896,10.805220,2.316919
0,0.392941,-0.684407,-0.868371
0,1.272876,2.272896,-0.505293
0,-0.729950,-3.173764,-0.442912
0,0.823064,1.123360,-0.440271
0,0.760754,-0.254708,-1.274626
0,-0.678330,-1.024844,0.945282
0,0.620706,0.395224,-0.557013
0,-0.900645,-2.035656,0.671118
0,0.356515,0.433894,-0.977557
0,-0.219663,-2.207122,-0.750168
0,0.905970,1.592919,-0.273951
0,0.900283,0.199725,-1.227087
0,0.455407,-1.603240,-1.623644
0,0.167429,-1.026649,-0.673807
0,0.101197,1.238753,0.067755
0,1.087757,2.037402,-0.314129
0,-0.708232,-1.998348,0.328869
0,-0.350583,-1.366701,0.081793
0,-0.882795,-0.989521,1.360842
0,-0.733351,-2.190996,0.243616
0,-0.287837,-2.533635,-0.845687
0,2.232509,5.855790,0.138209
0,1.166941,4.062471,-0.017030
0,1.536015,3.861216,0.090384
0,2.666853,6.684544,-0.119186
0,-1.049463,-1.066052,1.626702
0,-0.515177,-1.633379,-0.740551
0,2.505474,7.814783,0.971576
0,-0.800766,-2.939474,-0.145333
0,0.437425,0.814225,0.083508
0,0.358797,-0.482456,-0.663319
0,-0.942987,-1.167380,1.352913
0,-0.247576,-0.706020,0.341908
0,0.657562,0.561986,-0.512124
0,2.319213,5.935466,0.027487
0,0.332830,-0.712414,-0.772765
0,1.864912,19.839079,6.706387
0,-0.313797,-0.487806,0.619574
0,-1.294743,-1.347366,2.853907
0,-0.488589,-1.517089,0.241723
0,-0.374026,-1.354456,-0.817557
0,0.431743,1.069320,0.270889
0,0.960288,2.760850,0.430290
0,1.905153,10.935700,4.279426
0,0.310430,0.212060,-0.090232
0,0.207186,0.859081,0.554966
0,0.427769,2.500981,1.269121
0,-0.146011,-2.061767,-0.790478
0,-0.724847,1.535874,2.806140
0,1.132096,5.587552,1.104899
0,0.555303,-0.268169,-0.890938
0,-0.122371,-2.455760,-1.108319
0,-1.022766,-2.574597,0.531803
0,-0.016833,-2.536463,-1.366043
0,-0.997405,-2.706536,0.391994
0,-0.699166,-3.337181,-0.614873
0,-0.686845,-2.254571,0.110665
0,-1.282622,-4.097320,-0.024765
0,-0.327756,1.066533,1.721794
0,1.251062,6.122585,2.200212
0,0.845814,1.915783,0.064525
0,0.125971,-1.445894,-0.884596
0,-0.556250,-2.223078,-0.117357
0,0.299481,1.788870,1.021779
0,0.979316,4.290942,1.452633
0,1.082032,2.747060,0.187866
1,-1.121218,-4.129830,-0.356007
0,0.923422,0.367168,-1.155488
0,-0.441446,-1.448363,0.199098
0,1.727565,12.980636,1.270776
0,-2.022318,-5.395073,0.492214
0,-0.587035,-2.100507,0.026345
0,1.353521,3.348065,0.084401
0,-0.975715,0.056754,2.262552
0,0.745025,1.285581,-0.178742
0,0.322553,0.612558,-0.788966
0,-0.683373,-3.710448,-0.903364
0,-2.747105,-8.312133,-0.139800
0,-0.438424,-2.986710,-0.871135
0,-1.638679,-4.558644,0.337120
0,-0.971227,-3.206944,-0.004336
0,-0.176700,-2.616513,-1.115626
0,-0.212533,-2.408619,-0.903232
0,0.478859,-1.319859,-1.472421
0,0.306503,-1.347314,-1.161721
0,-1.506591,-5.152767,-0.326649
0,-0.986818,-1.707675,0.110234
0,-0.672509,0.427312,0.986292
0,-0.155670,-0.529872,-0.664680
0,0.962424,3.897657,1.212814
0,0.393746,0.186384,-0.267370
0,-0.576574,-3.826049,-1.187648
0,2.444931,8.743096,0.777061
0,-0.839915,-1.897855,-0.302369
0,-0.893356,-3.547730,-0.389099
0,-0.343078,-1.965783,-0.347096
0,-0.425787,-3.381127,-1.168225
0,0.080874,-1.507809,-0.841174
0,2.801129,10.055092,1.956195
0,0.985224,1.517814,-0.477522
0,0.384571,-0.955984,-1.040278
0,-0.237910,-1.728451,-0.384049
0,-0.693087,-3.017517,-0.405311
0,-0.129950,-2.255836,-0.955485
0,0.930577,0.592196,-1.013466
0,0.237603,-2.430598,-1.779497
0,1.998992,9.093923,2.825512
0,-0.772370,-1.416909,0.853881
0,1.991707,8.157445,1.238789
0,2.392667,9.515242,0.458652
0,-0.522758,-2.726613,-0.529841
0,0.461083,-1.204581,-1.358651
0,0.334869,4.749398,0.144608
0,-0.797384,-1.737006,0.680240
0,1.141033,2.158264,-0.332410
0,-0.053977,-1.298161,-0.438154
0,0.093413,-0.725161,-0.323609
0,-0.828002,-2.718833,0.059439
0,-0.060612,1.468887,1.489184
0,-0.523284,-1.789511,-0.833080
0,-0.856328,-3.712796,-0.574145
0,1.022624,1.181220,-0.781970
0,-0.243340,-2.541525,-0.936266
0,1.521919,6.388212,0.913225
0,2.526116,7.009727,0.375036
0,-0.683125,-0.389897,1.393803
0,-1.257330,-5.033478,-0.720916
0,0.605202,1.062703,-0.065497
0,2.132093,4.123471,-0.868376
0,0.957326,4.494700,0.683018
0,-0.750489,-3.383216,-0.548551
0,-1.839047,-3.587038,0.440031
0,-0.659960,-3.974895,-1.131134
0,1.226466,4.072432,0.828667
0,0.965417,2.297009,0.099527
0,-0.384057,-1.661529,-0.058181
0,-0.889060,-4.279715,-0.903810
0,-1.579621,-4.614856,0.185254
0,0.941769,1.670096,-0.289028
0,0.225295,0.617247,0.352990
0,-0.521768,-1.951439,0.004642
0,1.751268,3.755154,-0.394758
0,0.912453,1.126702,-0.608949
0,-0.579406,-3.075729,-0.663050
0,-0.914494,-1.143738,1.314767
0,2.538058,12.329051,4.032875
0,-0.155572,-0.155701,0.546705
0,0.291867,-1.501550,-1.240447
0,0.781829,1.650700,0.003498
0,-0.848719,0.307253,2.192954
0,0.021085,1.662088,1.466593
0,0.978564,4.725336,1.754647
0,-0.839031,2.640900,3.789180
0,1.285250,3.444228,-0.671132
0,-0.490280,-2.041471,-0.117886
0,0.370145,0.900094,0.271624
0,-0.047696,-2.236763,-1.099631
1,-0.662399,-1.455319,-0.335726
0,-0.294517,-2.011635,-0.471714
0,-0.673496,-3.292659,-0.633171
0,0.251894,1.077035,0.620257
0,1.169124,6.799773,1.872858
0,0.549195,-0.100830,-0.763463
0,-0.718399,2.022601,1.225259
0,-0.270686,-2.347790,-0.749901
0,-0.396764,-3.539902,-1.333606
0,-0.026778,-2.216026,-1.125294
0,0.186804,3.249071,0.342362
0,-0.328007,-1.983653,-0.388288
0,-0.616358,-2.472458,-0.174934
0,-0.719118,-4.446932,-1.344595
0,2.378344,10.756934,3.250569
0,0.605135,0.794646,-0.250850
0,-0.850049,-1.397471,1.015922
0,1.998918,10.524046,2.862555
0,0.082107,3.236825,1.486830
0,0.136400,0.786142,-0.312766
0,0.154696,-0.755083,-0.461541
0,1.455093,4.276465,0.532509
0,0.352959,-0.098041,-0.386157
0,0.353900,0.201376,-0.180777
0,3.056943,13.206834,1.742352
0,-0.761495,-1.881248,-0.440886
0,-0.964875,-3.428266,-0.169629
0,0.260156,-0.238790,-0.306027
0,0.452075,0.675151,-0.040747
0,-0.398402,0.419746,1.409391
0,-0.318293,-2.370417,-0.674491
0,1.350747,3.369227,0.104352
0,0.137014,0.531457,0.462499
0,-0.568059,-1.950935,0.093542
0,-0.669752,-3.531656,-0.805704
0,0.123201,-0.149038,-0.934612
0,-0.222579,-1.739543,-0.421050
0,-0.139692,0.426290,0.919036
0,0.590936,-0.282246,-0.968839
0,2.786203,12.762208,1.952588
0,0.723174,1.335947,-0.102094
0,-0.212250,-2.538681,-0.993768
0,-0.233995,-1.706809,-0.376562
0,1.710868,4.219461,0.003796
0,2.002700,5.360527,0.235112
0,1.902087,6.617496,1.297328
1,2.804024,8.416290,0.816695
0,1.805075,4.335923,-0.095825
0,1.445507,4.052829,0.396102
0,0.968106,4.067890,1.319737
0,2.029272,4.767358,-0.226157
0,-0.741436,-2.076795,0.338104
0,-0.487804,0.119453,1.372619
0,2.112123,12.926968,3.356030
0,2.667248,18.188467,7.840147
0,-0.811245,-3.631707,-0.604275
0,-0.950499,-2.492558,0.450332
0,-0.088418,-0.297626,0.320043
0,-0.079338,-2.725422,-1.377227
0,-0.631332,-1.570790,-0.475054
0,1.044658,2.575666,0.140764
0,-0.787952,-3.136570,-0.306225
0,0.806672,0.424633,-0.892395
0,-0.234809,-1.343413,-0.123555
0,0.257574,-1.909865,-1.457380
0,-1.319846,-1.840374,1.608125
0,0.450961,-0.557164,-0.891313
0,0.928307,0.399619,-1.142378
0,-0.116022,-0.293878,0.375441
0,0.327947,0.518842,0.088538
0,1.747021,8.809478,2.158016
