y,rr,eta,pt
0,-0.191233,6.281052,5.883859
1,-2.310770,2.549007,4.705541
1,-1.244850,2.968209,4.281812
1,-1.451966,2.737318,4.518238
1,-0.079037,6.146281,4.250800
1,-2.167381,1.886381,5.297941
1,-2.310770,2.549007,4.705541
1,-1.267434,2.894005,4.273667
1,-0.386836,6.397671,5.013531
1,-3.565264,-5.712173,2.714142
0,-0.522600,1.158745,1.648179
0,-3.105778,-0.882336,5.177183
0,-1.965519,3.344275,4.595397
0,-0.316785,2.054530,1.874316
0,-0.920849,-0.337571,1.374616
0,-0.524773,3.909062,3.555407
0,-1.843311,-4.855426,0.013067
0,-1.076662,1.875782,3.204188
0,0.734060,8.153736,2.759303
0,-2.239198,4.156228,5.680741
0,-1.583528,-1.441988,1.878046
0,-0.798232,3.740855,2.636924
1,0.257969,9.837114,6.160003
1,-3.379201,0.448832,5.296117
1,-2.696114,2.095606,6.454117
1,-1.226523,3.579131,4.669480
1,-2.310770,2.549007,4.705541
1,-2.237471,3.856892,5.470313
1,-2.239198,4.156228,5.680741
1,-2.310770,2.549007,4.705541
1,0.184463,4.912921,2.893337
1,-1.807358,3.227896,4.212325
1,-3.105778,-0.882336,5.177183
1,-2.438668,2.681759,5.042051
1,-1.965519,3.344275,4.595397
1,-2.280340,0.319914,4.430108
0,-1.024110,1.975906,3.172942
0,-3.374939,-0.751013,5.782925
0,-1.832364,1.368561,2.973600
0,-0.861665,1.709975,4.003381
0,-0.969652,4.683143,3.616843
0,-0.401997,0.801819,1.170508
0,-0.591993,9.361310,6.131464
0,-2.620819,2.128878,5.007922
0,0.245888,11.361211,7.237705
0,-1.142906,-0.828685,2.784747
1,0.172696,9.465488,4.740788
1,-1.631811,3.595518,5.456086
1,-2.438668,2.681759,5.042051
1,-2.620819,2.128878,5.007922
1,-1.965519,3.344275,4.595397
1,0.493868,10.127294,4.584357
1,-2.310770,2.549007,4.705541
1,-0.159672,6.224579,4.459223
1,-1.965519,3.344275,4.595397
1,-3.411974,-1.484609,5.346161
1,-2.310770,2.549007,4.705541
1,-3.543324,-1.548561,5.553166
1,-3.293428,2.296516,6.410541
1,-3.051133,-4.085492,1.531056
1,-4.106802,-1.615978,6.584386
0,-1.843311,-4.855426,0.013067
0,-1.965519,3.344275,4.595397
0,-1.196265,3.152355,2.991106
0,-1.365180,-1.382944,1.501227
0,-1.727897,4.207161,6.063112
0,-2.792531,-9.065463,0.240884
0,0.566715,10.046727,4.389260
0,-1.380880,2.692262,4.351082
1,-1.875193,2.606190,5.237086
1,0.376432,10.168143,4.837262
1,-3.253856,1.488433,5.775694
1,0.366748,18.113499,10.353544
1,-1.433732,3.216985,4.815261
1,-2.688563,0.655310,5.443067
1,-2.059523,-2.648227,1.953919
1,-3.534782,0.339410,5.518013
0,-2.280340,0.319914,4.430108
0,-3.745661,-5.629238,1.791418
0,-1.926866,3.442868,4.589679
0,-3.005910,-3.295363,1.991276
1,0.399621,6.879219,3.842336
1,-1.835362,2.306371,3.628250
1,0.615077,1.863577,-0.040359
1,0.000530,4.252753,1.463191
1,-0.460521,2.551110,2.492871
0,-2.548013,0.354265,3.640716
0,-1.304168,1.376739,3.294069
0,-1.708817,-2.544302,0.029781
0,-0.177000,5.335200,5.202155
0,-0.126762,-1.733649,0.214796
0,-1.194637,-4.852809,-1.225960
0,-3.268968,-7.122994,-0.154038
0,-0.747307,5.803917,5.292226
0,0.794149,1.416846,-0.692016
0,0.962126,2.060957,-0.567646
0,-0.564372,-1.677926,1.090450
0,-2.068292,-3.156807,0.293595
0,-0.096812,-2.545218,-0.404057
0,0.955083,1.201764,0.176498
0,-0.242953,-1.586166,-0.786081
0,-0.155984,-1.258885,-0.725982
0,-0.213369,-1.477131,-0.767225
0,-1.507088,-3.259158,-0.850746
0,0.615077,1.863577,-0.040359
0,0.014897,1.912510,1.141576
0,-0.076862,-2.499151,-0.410343
0,-0.664002,-4.745360,-0.841467
0,-0.777639,-3.191175,0.451320
0,1.228611,3.005290,-0.423974
0,-0.454073,-1.636106,0.908399
0,-0.213369,-1.477131,-0.767225
0,-1.093089,-4.662266,0.036823
0,-1.405122,-4.012214,1.083507
0,0.641415,2.922182,0.641757
0,1.130610,2.727713,-0.428578
0,-1.157421,-4.992910,-0.068905
0,-0.045256,-1.988376,-0.117373
0,-0.984087,-3.545011,-0.723792
1,-1.648707,-0.753250,2.479296
1,-1.136044,-1.558724,-0.383902
1,0.051993,4.806739,3.073265
1,-1.476452,-3.228565,-0.888179
1,0.567467,10.324448,5.905178
0,0.377202,-0.003389,0.448017
0,-1.286678,-3.348841,1.315956
0,0.615077,1.863577,-0.040359
0,0.646474,3.048652,0.719591
0,-0.115719,1.418138,1.049350
0,-0.754461,-5.408462,-1.127260
0,0.709228,0.836859,0.394296
0,-1.074044,-4.415588,0.171080
0,0.276106,5.063722,2.822380
0,-1.340149,1.010500,3.109480
0,-3.728387,-6.493504,2.485538
0,-0.472753,0.740751,1.263600
0,0.522091,2.155704,0.339650
0,-1.473652,3.685910,3.890906
0,0.246459,1.398203,0.342751
0,0.152292,2.043684,0.969520
0,-0.050458,-0.580816,-0.458654
0,-1.894347,2.084573,3.587608
0,-0.508703,2.963542,2.870419
0,0.641415,2.922182,0.641757
1,-1.894347,2.084573,3.587608
1,-2.577278,-2.867248,1.467585
1,-0.842147,-1.972804,0.092575
0,-0.426614,-2.263924,0.421457
0,0.462100,5.178595,2.546081
0,0.834930,1.283865,0.463146
0,-0.198275,1.728417,1.421965
0,-1.194637,-4.852809,-1.225960
0,-0.535321,0.018612,0.883603
0,0.166976,-0.018296,0.839840
0,-0.912174,-4.712681,-0.344130
0,0.463673,9.356285,6.758995
0,0.214407,-0.323034,0.538248
0,-2.425581,-6.272437,0.146387
0,1.228611,3.005290,-0.423974
0,-0.724216,-2.807887,-0.710847
0,0.062657,0.741706,0.240084
1,0.224993,-1.472695,-0.277504
1,-1.593113,0.816037,3.458812
0,-1.248638,-4.738998,-1.043911
0,0.615077,1.863577,-0.040359
0,0.522091,2.155704,0.339650
0,1.130610,2.727713,-0.428578
0,-1.065767,-1.614808,-0.557140
0,-0.906975,-4.042048,-1.215222
0,0.684407,11.367897,6.403494
0,-0.237727,0.815270,0.865586
0,0.357852,0.524649,-0.474783
0,0.832155,4.899936,1.645393
0,0.496636,-0.923013,-0.416777
0,1.216896,2.870687,-0.494703
0,0.645464,1.379626,-0.433353
0,0.734807,0.603008,-1.141633
0,0.719555,-1.002611,-0.898271
0,0.579608,0.949133,-0.605256
0,-0.632835,-2.411344,0.713927
0,-1.673289,-1.752747,1.834721
0,-1.180356,-0.297054,1.899058
0,0.960352,2.495221,-0.263767
0,0.861296,-0.590001,-0.883901
0,0.662647,-1.563712,-1.177664
0,-0.063377,4.159748,2.846272
0,0.406398,-1.499308,-0.642927
0,0.385810,-0.960362,-0.230621
0,-0.746350,-0.143069,-0.149784
0,0.828680,-0.555835,-0.797870
0,0.000000,-0.951979,0.513188
0,0.317062,0.619924,-0.330831
0,0.323181,0.140181,-0.674491
0,0.780305,1.285681,-0.756292
0,-0.068449,-1.229782,0.451899
0,0.778198,1.332924,-0.719572
0,0.975692,1.636115,0.437624
0,0.039514,-0.312601,-0.445170
0,1.201909,1.113443,-0.356764
0,1.014792,3.967866,0.651087
0,1.211514,1.797371,0.098103
0,0.102944,-2.348914,-0.650336
0,0.828680,-0.555835,-0.797870
0,0.792220,0.360246,-0.094248
0,0.558192,0.364616,-0.968743
0,-0.664509,-1.525991,0.061944
0,0.612648,0.994555,-0.637029
0,-0.167818,-2.517986,-0.249387
0,1.509650,2.663718,0.127269
0,-0.009476,3.598134,2.354557
0,1.416341,1.418853,-0.555621
0,-0.271831,0.145570,0.467425
0,0.203460,0.904090,0.083103
0,0.997990,4.565276,-0.228585
0,0.244378,-0.558408,-1.007136
0,1.169456,2.258986,-0.827219
0,0.267385,-0.185091,-0.792832
0,0.771400,3.095631,-0.812060
0,0.730718,2.193112,1.291641
0,0.652260,-0.688707,-0.552340
0,0.450266,0.360884,-0.764876
0,0.377004,2.762284,1.036904
0,-1.408394,-4.122818,1.013234
0,1.986574,3.914969,0.080767
0,0.122759,-0.592713,0.526958
0,0.048591,2.208090,1.281648
0,-0.937301,2.091673,4.412178
0,0.720461,0.831329,-0.956206
0,-0.048387,-1.073661,-0.803638
0,0.619094,0.341453,-1.101270
0,0.790571,2.268229,-0.096060
0,0.662647,-1.563712,-1.177664
0,1.378150,2.594926,0.331212
0,-2.310770,2.549007,4.705541
0,-0.546497,4.731959,4.166362
1,-2.310770,2.549007,4.705541
0,-3.127925,0.264727,6.013252
1,-2.241458,1.098801,4.894679
1,-2.239198,4.156228,5.680741
1,-1.631811,3.595518,5.456086
0,-2.262203,0.913194,4.805930
1,-1.214664,4.324594,5.162613
1,-2.237471,3.856892,5.470313
0,-1.337412,0.199608,1.217963
0,-0.683605,2.840830,3.120077
0,-2.310283,3.340600,5.252348
1,-1.365180,-1.382944,1.501227
1,-1.891349,2.532082,5.216714
1,0.384988,7.932190,4.598926
1,-1.965519,3.344275,4.595397
0,-1.965519,3.344275,4.595397
0,-2.310770,2.549007,4.705541
1,0.566715,10.046727,4.389260
0,-0.279894,5.617015,4.268792
1,-3.292912,-1.184421,5.326122
0,-4.161325,-8.444773,0.638339
1,-3.379201,0.448832,5.296117
0,-1.216970,0.971861,2.847116
0,0.716130,8.493381,4.353804
