y,rr,eta,pt
0,-0.410168,2.846591,2.827430
0,0.535133,2.423291,-0.458143
0,0.609765,4.841256,1.664405
0,0.918690,3.628685,0.234436
0,-0.074441,0.168376,0.332044
0,-0.584076,0.144087,1.290109
0,0.053522,0.860554,1.158423
0,-0.451649,-0.057132,0.897559
0,1.203091,3.426393,-0.449567
0,-0.268210,-1.985370,-0.787575
0,0.651642,0.979347,-0.495722
0,0.544158,1.789171,0.270236
0,-0.542188,-1.520035,0.058501
0,0.799012,1.578382,0.229086
0,-0.276728,-1.202818,-0.229797
0,1.242085,3.289374,-0.026757
0,-0.100433,-2.971448,-1.198616
0,-0.315641,-3.317704,-1.026538
0,0.778159,1.716210,-0.227866
0,-1.190635,-5.449127,-1.419814
0,-0.306058,-1.292044,-0.235433
0,-1.222421,-4.184200,-1.075961
0,-1.005761,-5.174103,-1.583156
0,0.405546,4.858481,2.066971
0,1.193028,4.417476,0.255458
0,-0.716524,-1.771379,0.218069
0,-1.769097,-4.348649,0.448187
0,-0.368295,-1.080755,0.622030
0,-0.730193,-3.829167,-1.179663
0,-0.755418,-3.566701,-0.357588
0,0.348396,1.542354,1.066132
0,-0.780234,-3.108640,0.006836
0,0.615413,2.275994,-0.713631
0,-0.898623,-1.582813,-1.079748
0,1.184986,4.070209,1.214971
0,0.610456,3.475069,1.309966
0,-1.003357,-4.888707,-0.798066
0,-0.941064,0.404604,2.745459
0,-1.661615,-5.173908,-0.920658
0,-1.085035,-1.980696,0.778150
0,0.734380,1.600324,-0.816518
0,-2.141039,-5.782274,0.167677
0,1.223235,4.089917,-0.028977
0,-0.887228,-2.899584,-0.236052
0,-2.033469,-6.025987,-0.798936
0,-0.409192,-1.565058,-0.227060
0,0.712399,3.200720,0.925127
0,0.848922,7.037691,2.726739
0,-0.453444,-0.021769,0.333251
0,-0.087679,0.876664,0.847463
0,-0.435349,-0.727069,0.402819
0,-0.155756,-0.952557,-0.288036
0,-0.364804,-1.130002,-0.603143
0,0.076542,-0.372248,0.261358
0,-0.520771,-2.159298,-0.424805
0,-0.066795,-0.494162,-0.141024
0,-1.329294,-6.821389,-1.511898
0,0.062444,4.889463,1.560304
0,-0.448771,0.077839,0.985445
0,-0.359007,-2.315052,-0.842013
0,1.243270,1.331280,-1.383920
0,0.351385,1.677774,0.561908
0,-1.765352,-6.590220,-0.517813
0,0.348788,0.815355,-0.029870
0,-1.565794,-0.007504,2.470920
0,0.167336,0.373293,-0.580866
0,-0.266754,-1.486718,-0.445321
0,-0.203039,-2.226511,-1.079095
0,-0.513741,0.232450,1.216708
0,1.133235,3.009315,-0.012325
0,0.835356,4.569567,1.637092
0,-0.405724,2.433019,0.756129
0,0.513634,4.409845,0.957571
0,0.326176,1.024952,0.158413
0,1.058195,6.677257,2.669234
0,0.167675,0.829271,0.326206
0,-0.508028,-1.382027,0.088649
0,0.391522,6.196509,3.019640
0,0.386594,-1.320366,-0.987782
0,0.860412,4.507304,0.953870
1,0.087658,-0.590475,-0.503117
0,0.362823,1.485285,0.406838
0,0.496707,2.269253,0.100987
0,-0.680187,-2.929566,-0.652844
0,0.098671,-0.497934,-1.052361
0,0.915217,2.319588,0.519673
0,-1.387229,-1.285138,1.245292
0,0.876495,4.212082,0.126618
0,0.952207,3.320556,-0.635098
0,-0.855823,-4.691912,-0.944110
0,-0.733848,1.505734,0.149953
1,-0.822954,-0.987965,-0.220684
0,0.155055,3.783693,1.210228
0,0.136293,2.686884,1.079395
0,-0.414057,-0.670426,-0.190927
0,1.016489,4.500256,0.058228
0,0.392201,3.848732,2.578227
0,0.897465,2.754253,0.854396
0,0.279323,6.045197,1.352935
0,0.379011,3.524557,0.010309
0,0.632247,7.875857,1.352342
0,-0.674491,-2.383050,0.306630
0,0.338817,0.918328,0.652664
0,0.705123,2.598364,0.522248
0,-1.160891,-4.291718,-0.675848
0,-0.018820,-1.061740,-0.033318
0,0.133391,-0.210370,0.264621
0,-2.006548,-6.430318,-0.537998
0,0.001383,0.419856,0.361012
0,-0.634283,-2.252741,-0.272326
0,1.031477,2.821739,0.052533
0,-0.727998,-1.038934,1.339039
0,0.008716,1.651675,0.607125
0,-0.194211,-3.079563,-1.094038
0,-2.005473,-5.147731,-0.244785
0,-0.231631,-2.583708,-0.679354
0,-0.094074,-0.711154,-0.238988
0,-0.712632,-1.163685,-0.553306
0,0.025286,2.185423,1.536963
0,0.248908,0.406846,-0.121477
1,0.202703,3.062122,1.804214
0,-1.026767,-1.398875,1.069279
1,-0.733123,-2.473318,-0.828094
0,0.158758,0.615835,0.195577
0,0.105676,5.570874,0.764687
0,0.844626,4.902382,0.665231
0,1.074571,2.375767,0.253720
0,-0.152106,-0.640899,-0.671578
0,1.214327,2.926031,-0.817284
0,-0.446868,-3.078274,-0.609844
0,-0.001057,1.378936,1.029310
0,-0.448436,-1.576828,-0.752344
0,0.075662,-0.959171,-0.735289
0,-0.547746,-4.190289,-1.186329
0,-0.836681,-1.565161,1.182816
0,1.174013,2.167726,-0.080454
0,0.209603,0.692744,-0.440675
0,1.258425,5.715204,1.028320
0,0.448355,3.315747,0.917594
0,-0.010850,0.729142,0.598421
0,-0.943184,-3.232510,-0.951591
0,-0.555385,-2.048526,-0.281944
0,-0.396628,-2.076980,-1.197524
0,-1.311558,-4.507513,-0.536956
0,0.584968,2.146347,0.439319
0,-0.626924,0.162133,-0.392071
0,-0.383558,-2.388515,-0.845882
0,0.548962,1.800083,-0.323613
0,-0.828134,-3.447148,-1.320186
0,1.047626,2.705437,-0.058833
0,0.595855,2.079614,0.372317
0,0.567835,1.658715,0.134678
