y,rr,eta,pt
0,1.617978,5.528410,0.211284
0,0.714577,0.080351,-0.645956
0,1.155131,2.910936,-0.122282
0,0.943164,0.468921,-0.222138
0,0.166809,-2.378596,-0.707388
0,0.873158,0.655833,-0.551100
0,-0.348962,-2.423278,-0.936114
0,0.140192,-0.193446,0.263323
0,-0.275577,-2.068055,-0.238487
0,2.630994,50.591426,3.397443
0,-1.407169,-0.978186,0.903619
0,0.350986,1.148247,-0.395943
0,-0.897368,-4.882808,-0.996728
0,-0.298560,-2.620430,-0.576736
0,0.151454,0.727241,-0.897783
0,0.614978,2.156001,-0.203618
0,-0.633078,-1.822517,-0.569149
0,-0.789891,-0.763676,-0.128733
0,0.025181,0.536540,0.396227
0,0.701729,2.156217,0.815007
0,0.226633,0.615061,0.657415
0,-0.188714,4.559324,0.035674
0,0.995738,1.801590,0.599430
0,2.491016,9.485328,3.055866
0,-0.004582,-0.918665,-0.553762
0,0.308898,3.669651,0.244824
0,-1.429001,-1.018278,2.102058
0,0.276545,1.896179,0.856194
0,1.450773,2.174461,-0.012993
0,1.010277,4.305097,0.527280
0,2.984235,20.336618,3.106593
0,0.941261,0.847318,0.043332
0,1.721778,1.999660,-1.244558
0,-0.191771,0.941279,1.683499
0,-1.157953,0.165934,0.626357
0,0.177550,0.377061,0.586622
0,0.880770,8.929673,0.421709
0,4.027183,149.815035,3.056573
0,0.616493,1.985062,-0.324795
0,1.203883,6.209069,0.882169
0,-0.866523,0.714570,1.040721
0,0.808028,11.277524,-0.183396
0,0.557073,-0.067360,-0.446878
0,-1.547371,-2.041702,2.212542
0,-1.355465,1.205718,2.315859
0,1.355717,8.153343,0.160432
0,0.930027,1.965282,0.246184
0,1.142543,1.712957,0.257280
0,-0.740521,3.000903,0.605084
0,-0.075445,0.123416,-0.881565
0,0.267534,1.030394,-0.910066
0,-1.065083,1.178394,1.741485
0,-0.043351,-3.509384,-1.680030
0,1.738835,6.524785,-0.514882
0,-0.614541,-0.420957,0.957406
0,0.032654,-0.798371,0.642665
0,-1.244275,2.756146,3.175976
0,0.482994,1.821047,1.001502
0,-1.182035,-0.655934,1.288155
0,0.246268,0.116837,-0.317099
0,0.580430,0.296860,-1.423955
0,0.376337,-0.451663,0.225142
0,-2.206802,-5.083029,0.777315
0,0.015914,-2.460151,-0.475175
0,0.720865,5.384663,2.420102
0,0.530311,1.792039,0.298708
0,-0.109370,-1.123262,-0.494885
0,-0.411012,1.000896,0.959713
0,0.342961,0.584344,0.413638
0,-0.910733,-6.141602,-1.249971
0,-1.749626,-1.225319,1.979907
0,-1.704773,-4.975877,-0.108865
0,-0.161694,4.368926,2.221081
0,-0.319659,1.217292,-0.249720
0,0.259286,-1.999083,-1.213892
0,1.162945,11.719411,3.588917
0,-0.951388,-1.420466,-0.274272
0,-0.137391,-1.140905,-0.453492
0,-0.481450,-2.742263,-0.903401
0,-2.043856,-2.382236,1.150000
0,-1.008659,1.951955,2.761024
0,0.664838,1.024838,-0.489488
0,-0.687951,0.721366,1.296045
0,-0.773718,-1.839084,0.280625
0,-0.560341,2.782008,1.885585
0,-0.672134,-1.071274,0.617589
0,-0.949395,-1.254925,1.020881
0,0.189284,0.062083,-1.430401
0,0.938975,2.115846,-0.258960
0,1.541036,3.959318,0.457159
0,-1.079272,-1.023972,0.836918
0,0.142950,-0.819049,0.417373
0,0.172830,-0.583334,-0.068891
0,-1.555511,-4.644145,-0.164846
0,0.189438,2.508268,-0.330278
0,-0.632143,-1.706284,-1.082720
0,0.609728,2.272283,-1.297533
0,-0.492738,4.518383,2.365536
