y,rr,eta,pt
0,0.674491,-0.496827,-0.672547
1,-2.347779,-8.562592,-0.620420
0,-3.222884,-10.255943,-1.450624
0,-2.566453,-8.450304,-1.308844
0,-3.175223,-9.710608,-1.312504
1,-0.221760,-0.388321,1.116958
0,-3.194336,-9.995536,-1.325044
1,0.630680,0.539150,-0.168008
1,0.510547,1.233930,0.838648
1,0.634955,1.298233,0.645165
0,-0.452953,1.049947,0.777778
1,-0.240427,-1.442332,0.423347
0,0.290174,-0.038314,-0.212337
1,0.288531,-0.911291,-0.517141
1,0.119662,-0.875099,-0.169072
1,-0.404573,1.163294,1.355870
0,-0.361528,-1.565672,-0.762817
1,0.891054,7.611700,0.674491
0,0.247778,0.530366,0.706415
1,-1.277400,-3.989381,-0.984040
0,-2.894683,-9.486086,-1.545734
0,-1.286719,-4.395103,-1.246952
0,0.063074,-0.096005,-1.150311
0,0.613192,1.686280,-0.673275
0,-3.069145,-10.074904,-1.619440
0,-2.897081,-10.688109,-1.484568
0,-3.080164,-11.237639,-1.514597
1,-0.426694,-2.278941,-0.539495
0,-0.070849,-0.770174,0.416008
0,-2.512011,-9.397516,-1.180089
0,-2.926505,-9.274483,-1.486497
0,0.028938,-1.195994,-1.105884
1,-1.151320,-5.239229,-0.905624
0,0.269482,0.965667,0.521945
0,-3.004554,-10.513155,-1.602083
0,0.049279,-0.240072,-0.779452
0,0.335780,0.730203,-0.063909
0,0.631997,1.113348,0.078736
0,-1.903809,-3.520335,-0.201500
0,-1.699392,-7.234185,-1.237627
0,-2.827747,-9.991400,-0.987059
0,-0.531044,-2.539522,-0.816301
1,-0.367775,-2.946815,-0.522125
1,-1.143068,-5.252096,-1.078366
0,0.520137,-0.429405,-0.626738
0,-2.401309,-8.536828,-1.240458
0,-2.208657,-7.277972,-0.737918
0,-2.390478,-9.157763,-1.246672
0,0.272837,0.635361,0.731130
0,-2.060843,-7.270144,-1.015252
0,-3.035278,-10.735763,-1.253188
0,-0.722961,-3.309093,-0.241424
0,-2.921964,-9.917269,-1.199696
0,-3.047019,-9.438904,-0.925582
0,-2.707614,-9.109660,-1.495057
0,-2.718106,-8.793003,-1.403931
0,-2.926689,-9.424976,-1.590280
0,0.250100,-1.014839,-0.071121
1,-2.355672,-8.190911,-1.088400
0,-2.900629,-10.686824,-1.624945
0,-1.732996,-6.071498,-1.553251
0,0.312449,0.667128,0.529285
0,-3.207324,-10.481863,-1.636712
0,0.451412,0.870322,-0.336196
1,0.246500,0.774240,1.025658
0,0.097568,-1.725273,-1.011187
0,-2.319842,-8.114894,-0.956287
0,-0.773529,-2.071098,0.859984
1,0.891054,7.611700,0.674491
0,0.891054,7.611700,0.674491
0,-0.316120,-1.165306,-0.868750
0,0.891054,7.611700,0.674491
0,0.891054,7.611700,0.674491
1,0.617485,3.028778,0.543554
0,0.388150,0.255251,0.099482
1,-2.779787,-8.838979,-1.317754
0,-1.239106,-4.313994,-1.281908
0,-2.136399,-7.537074,-1.203476
0,0.402691,-0.085035,-0.163793
1,-0.942851,-4.241174,-0.465749
1,-0.281118,-1.240990,0.492449
0,-0.709596,-0.206056,-0.192590
0,0.076918,-0.832252,-0.205713
0,-0.795013,-4.691389,-1.208124
0,-2.426809,-9.634870,-1.507306
0,-2.807097,-9.072280,-1.426946
0,-2.350353,-7.142522,-0.521198
1,-1.380318,-4.517005,-1.152258
0,-1.037224,-5.316598,-1.177412
0,-3.247140,-12.101183,-1.644665
0,-3.233600,-10.032577,-1.423620
0,-3.134823,-10.087588,-1.650634
1,-0.484637,-2.078169,-0.733891
1,0.706906,2.607379,0.673127
0,0.531962,0.188742,-0.665792
0,-2.347964,-8.686013,-1.001572
1,0.410403,-0.339573,-0.354671
0,0.391876,-0.018694,0.050853
0,-3.100726,-9.664125,-1.422844
0,-0.042073,0.187283,1.319577
0,0.023861,0.010274,-0.705657
0,-2.928400,-9.388845,-1.413954
0,-2.407896,-8.665986,-1.465279
0,-2.840120,-9.303417,-1.523710
0,-2.775188,-8.883862,-1.357609
0,-0.375674,-1.484464,0.356800
0,-2.624573,-8.603858,-1.451970
0,-3.018988,-9.679513,-1.441794
0,-0.560779,-2.996532,-1.075646
0,-1.866162,-5.668165,-1.019435
0,-1.797501,-7.368877,-1.143156
0,0.508450,2.452550,1.093670
0,0.142845,-1.426368,-0.594867
1,0.229863,-1.251080,-0.343927
0,-2.403928,-8.792544,-0.820179
0,-2.714475,-9.753208,-1.335023
0,-0.274518,-0.926536,-0.783115
0,-1.075423,-3.248327,0.030684
1,-0.393087,-0.991894,1.027046
0,0.346329,-0.491433,-0.337185
1,0.891054,7.611700,0.674491
1,0.055361,2.417880,1.344177
0,-1.707367,-4.381572,1.195638
1,0.358854,1.531651,1.334828
1,0.423972,0.265881,0.334419
0,0.395495,-0.659120,-0.251159
0,-0.729388,-1.058363,0.884096
1,0.544054,1.816591,0.289410
1,-1.960331,-5.814750,-0.644625
1,0.752190,2.425501,0.460653
1,-0.881985,-4.427952,-0.415314
1,0.891054,7.611700,0.674491
0,-0.566682,-1.615970,0.927287
0,0.891054,7.611700,0.674491
0,0.688305,1.884494,0.060459
1,-0.012363,0.962920,1.503339
1,0.723291,0.323156,-0.494616
0,0.616474,1.035416,-0.093549
1,0.335410,1.024311,0.880568
