y,rr,eta,pt
0,0.393108,2.214926,0.853777
0,1.849810,5.669194,1.345755
0,0.008030,-0.387088,0.382144
0,-0.104507,-0.995713,-0.415931
0,-0.293695,0.884347,0.358549
0,-0.152680,-0.561283,-0.615390
0,0.564689,2.062140,0.123739
1,0.198947,0.571755,0.384305
0,0.939461,3.107155,1.314355
0,-0.242648,-2.809176,-0.814292
0,-0.793117,-2.807694,-0.648597
0,0.342655,1.041529,0.434465
1,0.786330,4.153308,1.442844
0,0.486912,1.815219,0.693869
0,1.073881,1.545914,-0.319173
0,-1.127749,-3.044423,-0.468393
0,1.816246,8.931812,1.298677
0,1.501654,5.862759,1.553464
0,0.709047,0.227798,-0.237247
0,-0.131068,-0.102086,-0.042886
0,0.976841,4.651642,1.719343
0,0.235592,0.085415,-0.318420
0,0.798958,3.337026,0.261656
0,1.642271,9.731380,0.111994
0,0.501423,3.050479,0.040321
0,0.382096,5.213635,0.284843
0,1.696788,4.990460,0.576613
0,1.538667,3.796052,0.052613
0,0.350501,1.873208,0.402725
0,1.153728,3.211919,0.680874
0,0.074416,5.161021,1.429203
0,1.123193,2.556526,-0.010318
0,1.263971,4.316279,0.345834
0,-0.192744,11.401083,1.224251
0,-0.615465,-3.915627,-0.866741
0,0.501409,-0.234389,-0.455974
0,-0.631053,-3.136731,-0.890177
0,0.513875,2.076421,-0.065283
0,-0.631076,-1.532622,0.219823
0,-0.030981,-1.604590,-0.385678
0,0.237312,2.870921,0.125185
0,0.064594,-2.684583,-1.019693
0,-0.702391,-2.042528,0.299517
0,0.807803,1.878645,0.123930
0,-0.832682,-0.894813,0.750696
1,0.339104,0.681042,0.784031
0,0.544800,3.336451,0.747433
0,1.505747,6.397863,1.027585
0,0.217725,0.470020,-0.610325
0,0.898535,0.813659,-0.490438
0,0.345687,0.340954,-0.056095
0,0.775893,3.252055,0.543087
0,1.366969,2.840223,-0.280330
0,-0.238883,-2.123384,-0.643067
1,1.162701,2.760199,-0.241066
0,-0.178599,-1.260970,-0.161640
0,0.857169,0.188593,-0.547717
0,-0.242955,3.941354,1.488457
0,-0.112643,2.468446,0.516119
0,1.906776,6.731824,1.675965
0,-0.683216,17.354002,1.839992
0,1.185445,1.868722,-0.013111
0,1.995796,14.487997,0.950434
0,0.233013,2.757029,1.535126
0,1.445669,4.802798,0.334913
0,-0.304591,0.834411,-0.247371
0,0.455265,-0.232308,-0.070161
0,0.967101,1.103279,-0.421194
0,-0.602325,4.109827,1.404150
0,-0.977886,-3.962480,-0.205890
0,0.513713,2.397031,0.749081
0,0.802573,3.085730,0.673067
0,1.054180,2.352035,-0.019800
0,0.197110,-0.404095,0.600898
0,0.278605,0.594215,-0.048635
0,1.507450,4.008732,0.851702
0,1.202556,6.238404,1.497217
0,-0.672561,-2.985123,-1.298084
0,0.568235,0.464016,0.195559
0,0.129914,-1.759338,-0.504424
0,0.527603,0.893584,-0.317792
0,1.616292,3.331305,0.174757
0,0.026739,0.969022,-0.195813
0,0.803827,1.995448,0.212357
0,0.317107,-1.596660,-0.749939
0,0.378941,-0.985948,-0.741744
1,2.572763,11.943281,3.119739
0,0.743452,1.260332,0.115291
0,-0.376121,-0.916004,0.158790
0,-0.602064,-2.967544,-0.828562
0,1.115367,5.171271,1.813915
0,0.132821,-1.610997,-0.407340
0,-0.207323,0.111911,0.547161
0,2.194756,9.325642,0.551036
0,0.232702,-0.646429,0.069028
0,1.157248,6.060293,0.868433
1,0.947339,9.250055,2.884897
0,0.252627,0.370869,-0.449590
1,1.156524,3.793002,-0.402919
0,0.351779,-0.600486,-0.423068
0,0.082944,2.770660,0.647203
0,-1.055156,-3.651503,0.157098
0,-0.895621,-4.472478,-0.716145
0,-0.138258,1.809283,0.701221
0,0.560120,2.334547,0.617075
0,0.389128,1.739798,-0.059582
0,-0.521099,-3.201890,-0.553383
0,0.982364,1.545553,0.151743
0,-1.217932,1.196811,2.046611
0,-0.535289,-0.332413,0.274863
0,1.729126,5.071437,-0.317528
0,-0.609305,-3.873463,-1.145452
0,0.212836,1.195477,0.493213
0,0.354697,4.059753,-1.053379
0,0.283044,-0.829199,0.142366
0,-0.095008,-0.244700,0.973873
0,0.116050,-1.714425,-1.335141
0,-0.416277,-1.626108,-1.144065
0,0.619053,1.981206,0.259848
0,-0.469278,-3.916214,-1.442891
0,-0.436506,-3.513141,-0.634465
0,-0.181772,-0.325377,-0.396505
0,-1.549316,-6.283312,-1.607016
0,1.397651,5.743124,-0.699208
0,-0.608100,-1.647836,0.096150
0,-1.033607,3.347863,1.405800
0,-0.537599,-1.264402,0.226605
0,-0.481856,-1.846909,-0.283088
1,1.199599,4.685631,-0.755982
0,0.174796,-1.407357,-0.642831
0,-0.466689,-3.824395,-1.384309
0,0.998185,2.337294,0.373217
0,-0.802113,-2.260673,-0.252879
0,-1.512927,-5.682802,-0.668894
0,1.664782,14.055169,-0.196393
0,-0.314698,-2.233748,-0.870513
0,-0.270482,-2.367935,-0.159629
0,-0.244874,-3.412273,-0.931239
0,0.437293,3.568630,-0.958996
0,-0.627552,-3.648428,-0.954835
0,2.631639,9.942242,1.622506
0,1.448729,5.664728,-0.851162
0,-1.502913,-5.094169,-0.576851
0,-0.886828,-5.486559,-1.138549
0,-0.771021,-4.623513,-1.058997
0,1.309267,10.016356,0.353971
0,-1.353989,-2.179962,-0.029673
0,-0.643415,-3.026587,-0.790316
0,-1.324186,-4.245540,-0.923740
0,-1.194627,-3.772170,-1.140129
0,-0.685100,-3.725014,-1.193852
0,-0.477566,-3.463680,-0.521697
0,-0.969671,-5.516860,-1.297151
0,-0.124478,-0.564344,0.512965
0,2.096671,6.316469,0.137000
0,-0.160119,-1.956229,-0.974177
0,0.200514,-1.196141,0.046334
0,-0.968306,1.294247,-0.732313
0,0.201015,-1.494651,-0.457283
0,-1.144451,-1.628163,0.543531
0,-0.908510,-0.191759,-0.690513
0,0.045985,-1.680343,-0.585323
0,0.456370,-0.125634,-0.590672
0,-0.324844,-3.235312,-1.840237
0,0.066848,-1.787056,-0.402966
0,-0.379984,-0.632100,-1.117900
0,-1.071354,-2.314338,-1.551615
0,-0.412046,-1.300848,-0.334886
0,-1.332467,-2.082742,-1.187990
0,0.005290,-0.019002,0.049872
0,1.162358,5.228718,-0.308958
0,-1.153120,-3.387700,-1.545706
0,0.358693,-1.152272,-0.818099
0,0.783727,6.178902,1.072797
0,-0.155743,-2.561806,-0.809365
0,2.239874,6.968390,1.202477
0,-0.131323,-0.153665,-0.670298
0,0.894916,3.283934,-0.254741
0,-0.072772,-3.021168,-1.285933
