y,rr,eta,pt
0,-4.005474,-14.428443,-1.064134
0,-5.169672,-20.197953,-3.421557
0,1.247359,-1.783688,-2.954919
0,0.945219,-1.252829,-3.194055
1,-2.167071,-9.599261,-1.239255
0,-1.779444,-7.786389,-1.910750
0,-2.780434,-11.232385,-2.380415
0,-2.752054,-11.867542,-2.281987
0,0.099093,-4.403390,-2.571112
0,-1.205455,-7.595681,-2.876766
0,-0.188343,-4.371011,-2.591086
0,1.506946,-1.143973,-3.601041
0,-0.293838,-7.727033,-2.934841
0,0.759312,-3.787433,-2.815616
0,-3.821131,-14.811540,-2.274053
0,-4.389681,-12.599942,-0.248388
0,-1.556701,-8.710051,-2.383747
0,0.289044,-2.147664,-1.965835
0,0.661991,-3.668183,-2.546937
0,2.318566,-0.497112,-3.521565
0,-0.310058,-0.269493,0.479768
0,-4.497262,-16.822325,-1.779839
0,-8.149807,-22.029793,0.419352
0,-0.570648,-6.780480,-3.527001
1,-0.650990,-4.265115,-0.448401
0,-0.120467,-6.291326,-2.865259
0,1.020101,6.006611,0.501424
0,-4.563957,-16.587922,-3.266692
0,-3.584149,-10.567192,-2.159352
0,0.969580,-2.634945,-3.604795
0,1.084950,-3.259209,-3.665232
0,0.759889,1.715611,-0.193332
0,-0.257247,2.292466,0.374856
0,0.422494,0.133827,-0.050233
0,-3.381660,-12.738576,-2.272540
0,-1.419037,-8.146901,-2.849622
0,-3.683553,-15.928575,-2.717942
1,-0.711159,0.645407,0.695671
0,-1.405174,-8.534759,-2.552307
0,-0.457774,2.831886,0.539479
1,-0.020398,-1.692540,0.125431
0,-1.467871,-9.782403,-3.295676
0,-0.247084,-0.368441,0.883050
0,-3.114093,-13.312581,-3.181546
0,-0.002200,-2.432673,-1.013721
0,-3.343666,-11.641122,-2.770259
1,0.169240,11.497663,0.598646
0,0.444744,2.964012,0.681121
0,0.254195,-5.236436,-3.444228
0,-0.610468,-4.960156,-1.599056
0,-0.579627,-2.739187,-0.121262
0,-8.312846,-27.520778,-3.660446
0,1.033837,-2.382532,-3.553054
1,0.708131,-0.394256,0.222391
0,2.271261,2.206500,-3.336952
0,-17.492471,-53.493626,-3.480480
0,0.243864,-5.935284,-3.315821
1,0.130352,-0.078854,0.361438
0,-1.368765,-4.309087,-0.290228
0,-8.470561,-24.160826,0.150567
0,0.428907,-4.310094,-3.729662
0,-0.334004,-4.009977,-1.470428
0,-5.167670,-16.354134,-1.357882
1,0.417026,2.380346,0.922487
0,-0.149349,-3.215002,-2.457992
0,-1.410549,-7.380472,-2.927740
0,0.475199,7.012407,-0.129123
0,0.294088,-1.642772,-2.218336
1,-0.072478,2.800413,0.372885
1,1.145276,61.804967,0.969999
0,-1.449278,-8.935684,-2.153150
0,-10.449006,-28.592755,0.868449
0,0.406652,-4.771706,-3.414291
0,-5.951830,-19.054139,-1.133922
1,-0.018907,166.478809,0.414947
0,0.524324,-3.131154,-2.504212
1,-0.140887,-0.406044,0.653888
0,-0.611813,-2.418180,-2.206413
0,-4.017895,-16.562505,-3.701449
0,0.184435,-5.633819,-2.401332
0,0.375674,-3.969512,-3.392168
0,-0.525340,-0.521462,0.125020
0,0.326230,-0.141331,-1.833114
0,0.270407,1.539240,0.620952
0,-1.484577,-8.054901,-2.660592
1,0.644102,2.116577,0.897811
0,0.312510,-0.253538,-0.107882
0,0.474365,2.849063,0.544922
1,0.175836,1.413805,0.122851
1,-1.273097,-2.220914,0.379465
0,-0.307218,-0.048324,0.035164
1,-2.255795,35.046056,0.212121
0,-1.067610,-3.250375,-0.725941
0,-4.884334,-18.502013,-2.201667
0,-0.758896,-6.349391,-2.868615
1,-0.209692,0.105666,-0.044839
0,0.140009,-4.956091,-3.624028
0,-1.060082,-0.946472,0.261626
0,-0.025356,0.620877,-0.040954
0,-8.282361,-24.359725,-0.347063
1,-0.012595,0.570685,0.492115
0,0.559978,-0.640285,-0.848867
0,0.030780,-0.437789,-0.288665
0,-2.697994,-12.701440,-2.370200
0,-0.007660,-6.715839,-3.374787
0,0.425300,3.573421,0.547782
0,-0.069551,1.120984,0.389632
0,0.047427,1.399252,0.358413
0,0.553227,-0.486561,-0.137375
0,-3.504484,-11.615668,-1.260602
0,-0.889819,-5.050887,-1.127472
0,-2.738253,-10.649770,-1.465754
1,5.941044,269.559232,0.527142
0,-1.313175,-6.656138,-2.020596
0,-4.573319,-15.727254,-2.061039
