y,rr,longstring,person_total,eta
0,0.910883,2.697963,0.674491,6.116871
1,0.910883,2.697963,0.674491,6.116871
0,-1.020281,1.348982,-0.724315,-2.368254
0,-1.310518,1.348982,0.246437,-1.888305
0,-0.554072,0.000000,-1.183495,-3.222751
0,0.910883,2.697963,0.674491,6.116871
0,-1.145541,0.000000,0.587689,-2.512727
0,0.910883,0.000000,-0.967648,0.976268
0,0.910883,0.000000,-0.862407,1.112489
0,0.910883,2.697963,0.674491,6.116871
0,-1.599071,0.000000,1.361378,-2.724754
0,-0.974710,-0.674491,0.725675,-2.630816
0,0.910883,0.000000,-0.862407,1.112489
0,-1.240269,0.000000,1.040201,-2.180465
0,0.910883,0.674491,-0.353739,2.524659
0,-1.083074,-0.674491,-1.255578,-5.485217
0,-0.486922,0.000000,-0.157047,-1.714486
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,0.674491,0.986848,4.259868
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,0.000000,-0.266562,1.883730
0,0.910883,0.000000,0.411555,2.761460
0,0.910883,2.023472,0.421197,5.035248
0,0.910883,2.023472,-0.182865,4.253370
0,0.910883,1.348982,-0.263952,3.394645
0,0.910883,0.674491,0.294906,3.364243
0,0.910883,2.697963,0.674491,6.116871
0,-1.020281,1.348982,-0.724315,-2.368254
0,-1.045246,1.348982,-0.472445,-2.109039
0,-0.645801,0.000000,0.063534,-1.854069
0,-1.306516,0.674491,0.231227,-2.651052
0,0.910883,2.023472,-0.182865,4.253370
0,-1.020281,1.348982,-0.724315,-2.368254
1,0.910883,0.674491,0.889270,4.133567
0,-0.063247,0.000000,-0.998013,-1.669416
0,0.910883,2.697963,0.674491,6.116871
0,-0.486922,0.000000,-0.157047,-1.714486
0,-1.143630,0.000000,0.123814,-3.108036
1,0.910883,2.697963,0.674491,6.116871
0,0.910883,0.000000,0.093726,2.350073
0,-1.198944,0.000000,-0.787418,-4.435502
0,0.910883,0.674491,-0.513744,2.317555
0,-1.200522,0.000000,-0.187144,-3.662751
0,-1.394761,-0.674491,-0.505318,-5.348056
0,-0.928881,0.674491,0.924457,-0.743360
0,0.910883,0.000000,-0.460050,1.633286
0,-1.306516,0.674491,0.231227,-2.651052
0,-0.740538,-0.674491,-0.785932,-3.960834
0,-1.876467,0.000000,-0.157047,-5.432352
0,0.910883,0.674491,-0.353739,2.524659
1,0.910883,0.674491,-0.353739,2.524659
0,0.910883,2.023472,-0.182865,4.253370
0,0.910883,0.000000,1.242483,3.836984
0,-1.254259,0.674491,-0.080932,-2.915281
1,0.910883,2.697963,0.674491,6.116871
0,0.910883,0.000000,0.258976,2.563967
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,0.000000,-0.460050,1.633286
0,0.910883,0.674491,0.747675,3.950291
0,-1.501933,0.674491,-0.317338,-3.883955
0,-1.095177,-0.674491,0.041382,-3.838860
0,-1.254259,0.674491,-0.080932,-2.915281
0,-0.346217,-0.674491,-1.244026,-3.498731
0,0.910883,0.000000,-1.338095,0.496775
0,-1.020281,1.348982,-0.724315,-2.368254
0,0.910883,2.697963,0.674491,6.116871
1,0.910883,2.697963,0.674491,6.116871
0,-0.121529,0.000000,1.197916,1.016978
0,0.910883,2.023472,-0.182865,4.253370
1,0.910883,2.697963,0.674491,6.116871
0,-0.716853,0.674491,0.330015,-0.945484
0,0.910883,-0.674491,0.619828,2.277273
0,-1.181349,0.000000,-0.646166,-4.205591
0,-1.226601,0.000000,-0.805426,-4.532810
1,-0.877858,-0.674491,-1.076151,-4.703897
0,-1.306516,0.674491,0.231227,-2.651052
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,2.697963,0.674491,6.116871
0,0.910883,2.023472,-0.182865,4.253370
0,-1.203979,0.000000,-0.327018,-3.853046
0,-1.104443,0.000000,-0.659688,-4.017325
1,0.910883,0.674491,0.889270,4.133567
0,0.910883,2.697963,0.674491,6.116871
0,-1.206271,-0.674491,-1.159686,-5.690724
0,0.910883,-0.674491,-0.005832,1.467440
