y,rr,longstring,person_total,eta
1,0.486072,0.000000,-0.746091,0.018433
1,-1.188885,0.000000,-0.179484,-3.647676
1,-0.319840,0.000000,-0.620908,-1.957713
0,1.943606,-1.348982,1.681710,5.735950
0,-0.151692,0.000000,-0.327717,-1.085884
1,1.457111,2.023472,-0.666449,5.245324
1,0.111955,0.000000,-0.280185,-0.312067
1,-0.422296,-0.674491,-1.009965,-3.629790
1,-1.026779,0.674491,0.780242,-0.994748
1,-2.620583,0.000000,0.326817,-6.749708
1,-0.625292,0.000000,-0.354638,-2.391792
1,0.250435,2.023472,-0.861163,1.736527
1,-0.527350,-1.348982,1.538715,-1.081122
1,-0.147422,0.000000,-0.463301,-1.269579
0,-0.299411,0.000000,-1.169832,-2.693009
1,-0.693013,0.000000,0.100309,-1.918272
1,-0.151110,0.000000,-0.565324,-1.426267
1,-0.146926,0.674491,-0.382668,-0.314160
1,-1.697095,0.000000,0.755460,-3.661964
1,1.288233,-0.674491,-0.657516,1.454111
1,-2.375231,0.000000,-0.185191,-6.830077
1,0.944604,-0.674491,0.900231,2.776451
1,-0.219077,0.000000,-1.021565,-2.264696
1,-0.080777,2.023472,-0.757900,0.998943
1,-0.252823,0.000000,-0.740563,-1.950597
0,-0.197926,2.023472,-0.880090,0.509656
0,-0.188451,0.674491,-0.974478,-1.276938
0,-0.387316,0.674491,-0.654736,-1.348879
1,-1.171420,0.000000,-0.090101,-3.472315
0,0.566768,-0.674491,-0.664608,-0.486448
0,0.503411,0.000000,-0.791407,-0.000387
1,-0.331901,0.000000,1.223234,0.663921
1,-0.763486,0.000000,-0.059175,-2.336340
1,-0.805787,0.000000,-0.332651,-2.843081
1,-0.282895,0.674491,0.993252,1.302131
0,-1.644635,0.000000,-0.294389,-5.032440
1,-0.508538,4.721435,-0.572294,3.473751
0,-1.140414,-1.348982,-0.055673,-5.015920
1,-2.011951,-0.674491,1.295256,-4.565629
1,-0.351791,-0.674491,-0.743618,-3.057848
0,1.578345,0.000000,0.115053,4.180193
1,-0.380977,0.000000,-0.874491,-2.486223
0,0.241916,0.674491,0.100214,1.421141
0,0.219678,0.000000,-0.858875,-0.856637
1,-1.373786,0.000000,-0.337864,-4.370321
1,-0.122556,0.674491,-0.864897,-0.942931
0,-0.643762,2.697963,1.753285,3.944521
1,0.924945,0.000000,-0.787643,1.132884
0,-0.422435,-1.348982,0.035567,-2.963592
