y,rr,longstring,person_total,eta
0,1.070184,-0.674491,-1.237019,0.036736
1,-0.628410,-0.674491,-0.516801,-3.471558
0,-0.502029,-0.674491,0.216485,-2.078142
0,0.084187,-1.348982,-0.347724,-2.159669
0,-0.756744,-0.674491,1.614079,-0.748377
0,0.441766,-1.348982,-0.531104,-1.466831
0,-0.017419,0.000000,-0.552474,-1.050072
1,-1.356752,-0.674491,0.230017,-4.345563
0,0.553965,2.023472,-1.012717,2.330551
0,-0.383063,0.000000,-1.398938,-3.246535
0,0.641029,0.674491,1.225473,4.108370
0,-1.923734,1.348982,0.548120,-2.890633
0,0.706942,-0.674491,-1.289789,-1.011096
0,1.632108,0.674491,0.241968,5.344739
0,0.441766,-1.348982,-0.531104,-1.466831
0,0.925306,0.674491,-1.408565,1.078338
1,0.892201,-0.674491,-0.927066,0.006578
0,1.733186,-0.674491,0.336879,4.075660
0,-0.393591,0.000000,1.911964,1.490015
0,-0.729100,0.000000,-0.139013,-2.359234
0,0.811276,0.000000,-0.531300,1.197655
0,-2.496804,-0.674491,1.237548,-5.945946
0,1.608736,0.674491,-0.199784,4.646479
0,1.152863,-0.674491,-0.470064,1.361677
0,-0.926156,4.046945,-0.023466,2.308137
0,0.441974,1.348982,0.002387,2.653691
0,-0.852898,3.372454,-0.052849,1.623805
0,1.020888,0.674491,0.033305,3.409071
1,-1.498030,0.674491,-0.172533,-3.626767
0,-0.530061,0.000000,-0.874844,-2.885618
0,-0.285324,-0.674491,0.576457,-0.980289
0,-1.720350,2.023472,0.658761,-1.349180
0,-0.795646,-1.348982,0.922867,-2.685242
0,-0.948834,-0.674491,2.835766,0.495795
0,0.274736,0.000000,-0.164857,0.289437
0,-0.757056,-0.674491,-0.323732,-3.537918
0,0.573323,0.674491,-0.138899,1.963749
0,0.797789,0.000000,1.389559,3.925879
0,1.255834,0.000000,-1.265437,1.330619
0,0.389794,-0.674491,-0.106829,-0.157260
1,0.313573,1.348982,-1.228962,0.538105
0,-2.418936,1.348982,1.794585,-2.421808
1,-0.892423,-0.674491,-0.784245,-4.562828
0,-0.717002,-1.348982,1.177727,-2.108053
0,2.182778,-0.674491,4.440426,11.184003
1,0.186157,1.348982,-0.362688,1.443848
0,0.853551,-1.348982,0.818593,1.577289
0,1.048376,-0.674491,0.340757,2.248963
1,-0.921790,-0.674491,2.666421,0.324450
0,-0.440811,1.348982,0.303039,0.724378
1,2.106171,0.674491,1.317410,8.160811
0,-0.903849,-0.674491,-0.696908,-4.467714
0,-0.205760,-0.674491,0.454655,-0.942692
0,0.204590,0.000000,-0.362644,-0.182879
0,1.133505,6.070417,-0.564932,9.553906
0,-0.899662,-0.674491,0.737702,-2.391962
0,0.472472,-0.674491,0.027315,0.257000
1,0.912257,-0.674491,-0.365399,0.868535
0,0.281253,0.000000,0.212154,0.849431
0,-0.782580,1.348982,0.667754,0.334803
0,0.022945,-0.674491,-0.188340,-1.256102
0,0.146935,-0.674491,0.174497,-0.402198
1,-0.318644,0.000000,-0.774696,-2.175829
0,-0.712342,0.000000,2.569299,1.583137
0,-0.548499,0.674491,-0.269642,-1.225951
0,0.973222,0.000000,0.357004,2.909318
0,-0.240644,-1.348982,-0.680727,-3.508012
0,-0.959546,-0.674491,0.963533,-2.227195
1,0.200836,-0.674491,-0.749188,-1.587254
1,0.827470,0.674491,-0.736139,1.784256
0,-0.854078,2.697963,1.470457,2.974782
0,1.107702,0.000000,0.267385,3.140160
0,0.018126,0.000000,-0.676562,-1.133544
1,-0.717518,-0.674491,0.133404,-2.774265
0,0.668878,1.348982,-0.919162,1.934594
0,-0.788739,0.674491,1.617563,0.847141
0,0.854189,-0.674491,-1.195467,-0.481382
0,1.925429,0.000000,0.977706,6.350293
1,-0.523130,0.000000,-0.137872,-1.806498
1,-0.992570,0.000000,0.698866,-1.858381
0,0.421097,0.000000,1.283619,2.765542
0,1.467564,0.674491,1.710556,7.017932
1,0.076534,2.697963,-0.470668,2.671254
1,1.101601,-0.674491,-1.164538,0.225103
0,-0.232248,-1.348982,0.224615,-2.182669
0,0.666152,0.000000,-1.225034,-0.188990
0,-0.374776,0.674491,-0.908737,-1.680861
0,-0.882115,-0.674491,-0.094040,-3.541973
0,1.592677,-0.674491,0.564495,4.027276
0,0.965072,0.000000,-0.979186,0.964600
0,0.148859,-0.674491,-0.747321,-1.723638
1,-0.706986,1.348982,0.088540,-0.296485
0,-1.551101,0.674491,0.134102,-3.327484
0,1.162338,-0.674491,1.033489,3.550792
0,-1.226767,0.674491,0.097423,-2.512481
0,2.246697,-0.674491,1.367893,6.933344
1,1.000821,1.348982,-0.708921,3.125299
1,0.452929,0.000000,1.069801,2.543006
1,-0.906158,0.000000,-0.466140,-3.303737
0,-0.798545,-0.674491,-0.943865,-4.541358
1,-0.984959,-0.674491,1.005694,-2.234517
0,-0.810603,0.000000,1.779034,0.182958
0,0.605744,2.023472,-0.387096,3.369424
0,0.148912,0.000000,1.461294,2.292978
