y,rr,longstring,person_total,eta
1,0.700833,-0.337245,1.007969,2.698289
0,-0.114085,-0.674491,-0.345131,-1.848378
0,1.067897,-1.011736,-1.153312,-0.267948
0,-0.649557,-0.674491,-0.983621,-4.199938
0,1.526731,0.000000,-0.479480,3.186500
0,1.715616,0.000000,-0.688417,3.391202
0,-0.470451,1.011736,-0.701067,-1.218962
0,0.751873,-0.674491,0.535927,1.736509
1,-0.968755,9.780116,1.583354,11.629997
0,0.197283,1.686227,0.160071,2.644945
0,-0.444385,-0.674491,-0.764394,-3.335490
0,-0.094498,-1.011736,-0.055708,-1.798491
1,-0.641945,-0.674491,0.662243,-1.811008
0,-1.882345,0.000000,0.216857,-4.932724
0,0.026245,-1.011736,-0.450595,-2.043713
0,0.697059,-0.674491,-1.035608,-0.671747
0,-0.977305,0.337245,-0.146279,-2.614761
0,1.000850,-1.011736,0.337534,1.698138
1,1.053590,-0.674491,1.841223,4.422236
1,-0.503207,1.686227,1.766208,3.082106
0,0.301475,0.337245,0.321054,1.479282
1,1.080131,-0.674491,1.378033,3.826672
0,-1.253400,0.000000,-0.593094,-4.415521
0,-0.402139,0.337245,0.776027,0.251446
1,0.267331,-0.337245,1.601454,2.392497
1,1.617536,-0.674491,1.456503,5.377476
0,-0.259203,1.348982,0.248011,1.131098
1,0.728771,-1.011736,1.993502,3.353267
1,1.451141,-0.674491,1.907837,5.581787
0,0.063181,0.000000,0.329351,0.434617
0,1.658781,0.674491,-0.903006,3.768372
0,-0.334073,0.337245,-0.113733,-0.846891
0,-1.041763,0.337245,1.172326,-0.889618
0,-0.305546,0.000000,-0.447373,-1.669732
0,-1.113890,-1.011736,1.451914,-2.356356
0,-0.235621,0.000000,-0.160493,-1.069792
0,0.081897,0.337245,-0.097800,0.289006
1,-0.632551,-0.674491,1.351287,-0.794271
0,0.423008,-0.674491,0.421361,0.691726
0,-0.788040,0.337245,0.208381,-1.597972
0,-1.695647,0.337245,0.062339,-4.236533
0,0.460307,-1.011736,-0.252686,-0.597525
1,0.449194,-0.674491,0.294773,0.579616
0,-1.433401,-0.674491,-0.859582,-6.118686
0,-3.130085,6.744908,0.615777,0.683456
0,-0.206059,1.011736,1.499918,2.655881
0,-1.156659,1.011736,1.037764,-0.552628
1,-0.455323,0.674491,2.341335,2.780807
0,-0.623291,0.337245,-1.184974,-3.162346
0,0.893447,-0.674491,1.888188,4.061342
0,-0.562248,0.674491,-1.131720,-2.503354
0,-0.794410,0.000000,-0.248760,-2.691914
0,-0.656138,0.337245,-0.169062,-1.788233
1,1.479663,-1.011736,2.637292,6.288830
0,-0.323011,0.000000,0.008236,-1.060796
0,-0.342817,1.348982,0.021014,0.580709
0,1.167247,-0.674491,-0.422780,1.468207
0,-0.027005,0.000000,0.524411,0.474024
0,0.010087,0.000000,-0.269032,-0.568574
0,-0.292452,0.000000,-0.411436,-1.582982
0,-0.077371,-0.674491,0.125198,-1.073295
0,-0.389276,-1.011736,-0.457823,-3.165882
0,-0.270721,1.686227,0.240210,1.508083
1,-0.235512,0.000000,0.358948,-0.321975
0,0.026627,-0.674491,-1.074122,-2.520981
0,0.725117,-0.337245,-1.103865,-0.275878
0,-0.205772,0.337245,-0.948967,-1.705595
0,-0.779402,4.384190,0.073581,3.259478
0,1.551702,-1.011736,1.635697,5.040183
0,0.858968,-0.337245,-1.339015,-0.256148
1,0.355265,-1.011736,0.578136,0.317059
0,-1.041171,2.360718,-0.183019,-0.324347
1,-0.265626,0.000000,0.162144,-0.685766
0,-1.583265,2.023472,0.540369,-1.152774
0,0.834303,-0.674491,0.023289,1.219323
1,0.082442,1.011736,1.381479,3.257350
0,-1.343528,0.337245,0.231233,-3.051347
0,-0.280387,1.348982,-0.758070,-0.373432
0,0.299677,-1.011736,2.591877,3.066305
0,0.636789,-0.674491,-0.339639,0.168565
0,-0.502584,0.337245,-0.853642,-2.362563
0,0.539214,0.337245,1.768518,4.198422
0,0.930447,0.337245,-0.926070,1.367423
0,-0.320108,0.337245,-0.685059,-1.631722
1,0.835255,-1.011736,0.419965,1.373698
0,1.776974,-1.011736,0.343676,3.783574
0,-0.566021,3.035208,0.826778,3.238219
0,0.751823,0.337245,0.314875,2.675342
0,-0.746945,1.011736,-0.729656,-1.999891
0,1.805172,0.337245,-1.403842,3.020277
1,1.515577,-0.674491,2.118266,6.057020
0,-0.815085,-0.674491,-0.177779,-3.483138
0,-1.172366,0.000000,0.028474,-3.304206
0,1.819577,-0.337245,1.006907,5.690072
0,-0.995083,-0.337245,-0.466354,-3.961001
0,1.009675,-0.674491,-0.087554,1.529032
0,0.655366,-0.337245,-1.126054,-0.494435
0,-0.847196,-1.011736,0.767488,-2.627749
0,1.006123,-0.337245,-0.506969,1.334975
0,0.396924,0.000000,-0.221811,0.534402
0,1.302195,-0.674491,0.177336,2.692902
0,1.748476,-0.337245,0.129467,4.237112
0,1.432476,-0.674491,0.234540,3.123804
0,0.116808,3.035208,1.775817,6.430956
0,0.312169,0.000000,-0.303843,0.189581
0,0.555331,-0.674491,-0.231359,0.106441
0,-0.821119,0.337245,0.382507,-1.435892
0,-0.668363,2.360718,-0.005519,0.928577
0,-0.734096,0.000000,0.315431,-1.718609
0,-0.845927,0.337245,-0.370427,-2.585815
1,-0.109655,4.384190,2.060865,7.911353
1,-1.527441,0.337245,0.939424,-2.524268
0,-0.145313,0.337245,0.370228,0.354622
0,0.670616,-0.337245,-0.741153,0.100279
0,0.389741,-0.337245,2.163728,3.529183
0,0.780932,-0.337245,-1.229613,-0.307502
0,-0.486154,0.337245,-0.973207,-2.490669
0,0.346107,-0.674491,-0.827514,-1.311286
1,-0.475873,-0.674491,1.133050,-0.689129
1,-0.193715,2.023472,0.145238,1.996472
0,1.061536,0.000000,-0.158559,2.403663
0,0.500545,-0.337245,-1.291227,-1.146374
0,1.751863,-0.337245,-1.181953,2.358910
1,-0.149400,0.337245,-0.817917,-1.366171
0,0.575190,0.000000,0.082985,1.450002
0,-1.962676,0.337245,-0.097818,-5.181479
0,0.428773,0.000000,0.019449,0.966815
1,-0.259275,-0.337245,0.483109,-0.625901
0,-0.085578,-1.011736,-0.560188,-2.500622
0,-0.209648,1.348982,-0.409947,0.316821
0,-0.880980,1.348982,-0.383544,-1.441398
0,-1.215719,0.674491,-0.300263,-3.055231
1,-0.259890,-0.337245,-0.229976,-1.653748
0,-0.822715,0.337245,-0.926089,-3.323363
0,-0.422122,-1.011736,-1.000784,-4.035140
1,1.616913,-0.674491,0.589096,4.127525
0,0.645612,0.000000,-0.042341,1.458067
0,-0.456988,2.360718,-0.280724,1.098084
0,0.476262,-0.674491,-0.743503,-0.842144
0,0.729822,-0.337245,-0.549958,0.533841
0,-0.276796,-0.674491,-0.746288,-2.861035
1,-0.955696,1.686227,0.315290,-0.216588
1,-1.158964,1.348982,0.517187,-0.888932
0,-0.497662,2.360718,-1.243583,-0.396394
0,0.241699,-0.337245,0.537497,0.792774
0,-0.939037,-0.337245,-0.750139,-4.219440
0,-1.730041,0.674491,0.565617,-3.185264
1,0.833197,-0.337245,1.591523,3.892234
0,1.876418,0.337245,1.501732,7.392313
0,-0.746727,2.360718,-0.552302,-0.067969
0,-0.836238,-0.674491,-0.929791,-4.621954
0,0.762114,-0.337245,-0.128678,1.226505
1,-0.735110,0.000000,0.599573,-1.312415
0,-1.159230,0.337245,0.916547,-1.572005
0,-1.253461,0.337245,-1.070780,-4.684091
0,-0.294567,-0.337245,-0.719243,-2.450635
0,0.980254,-0.337245,-0.917498,0.674968
0,1.369077,-1.011736,0.859326,3.434276
0,-0.471489,0.674491,0.981352,0.780402
0,0.254667,-0.337245,-0.624695,-0.845039
0,0.150089,0.000000,1.250758,1.993144
1,1.517568,-1.011736,0.576609,3.424719
0,-0.797937,0.674491,-0.446318,-2.147601
0,0.940051,0.337245,1.416382,4.764143
0,0.139177,0.000000,-1.182586,-1.537877
0,0.457732,0.337245,-1.083078,-0.123322
0,0.877060,-0.337245,0.575044,2.546779
1,-1.272349,0.000000,0.051459,-3.538642
0,1.500632,-0.674491,-0.705675,1.953099
1,-1.945430,0.337245,-1.166823,-6.673740
0,-0.683453,0.674491,-0.584605,-2.040297
0,-1.346251,0.337245,-0.336119,-3.875110
1,0.783503,-1.348982,1.124934,1.830723
0,1.631485,-1.011736,-0.271983,2.508309
0,-0.459725,2.360718,-0.007670,1.483715
0,-0.578059,1.011736,-0.727840,-1.545408
0,0.569969,0.000000,-0.860031,0.078938
1,1.817784,-1.348982,1.128512,4.603194
1,0.454380,0.000000,1.108070,2.601961
0,-0.440540,0.337245,-1.262678,-2.785202
0,-0.660002,0.674491,-0.859530,-2.373197
0,0.319279,-0.674491,-0.601169,-1.057334
0,0.317831,0.000000,0.066955,0.738343
0,1.135572,-1.011736,-1.347859,-0.366848
0,0.276803,0.000000,-1.356118,-1.419376
0,-0.946218,-1.011736,-0.773092,-5.109740
1,-0.558444,-0.674491,1.583794,-0.261390
0,-0.881790,0.337245,-0.129252,-2.334697
1,0.629600,0.337245,1.628450,4.238688
0,-0.919572,0.337245,0.827445,-1.059002
1,1.885588,-1.011736,0.740595,4.645388
0,0.988601,-1.011736,-1.032732,-0.306586
0,1.512675,-0.674491,1.867665,5.688614
0,-1.411949,0.674491,0.370409,-2.615100
0,1.120972,0.337245,0.179691,3.468493
0,-1.276224,-0.674491,1.806019,-1.862080
0,-1.670377,0.674491,-0.100183,-3.983779
0,-0.601850,2.360718,-0.303991,0.677007
0,-0.723073,0.674491,-0.316328,-1.760225
1,0.848772,0.337245,1.108847,4.077343
0,0.016453,-0.337245,-0.319525,-1.043235
0,1.387313,3.035208,0.543218,8.056485
0,0.807111,-1.011736,0.750496,1.774063
