y,rr,longstring,person_total,eta
1,0.701002,0.000000,1.501353,3.827799
1,1.118645,0.674491,3.137550,8.137949
0,0.528027,3.372454,-0.558929,4.590307
1,-0.824516,3.372454,0.533102,2.542986
0,0.091006,0.000000,-1.206741,-1.701525
0,1.394113,3.372454,-0.158046,7.484518
1,0.190513,0.674491,0.183616,1.403632
0,1.395319,-0.674491,0.756471,3.775499
1,1.512603,13.489815,0.016340,20.623331
1,0.985107,14.164306,0.600109,20.890118
1,1.120131,14.164306,0.655505,21.331109
1,1.136349,13.489815,1.279534,21.434488
1,-0.107173,13.489815,1.521860,18.456053
1,1.189985,4.046945,-0.298892,7.573716
1,1.049173,12.140834,0.371744,18.218731
0,0.189543,0.000000,-1.133942,-1.333115
1,-0.159859,13.489815,1.259633,17.937713
0,-0.678411,0.000000,-0.919549,-3.346879
1,0.409046,0.674491,1.207677,3.462067
1,0.908820,-0.674491,0.323481,1.850705
1,0.909540,-0.674491,-0.087601,1.261045
1,0.544878,-0.674491,-0.557072,-0.390261
1,1.155085,-1.348982,1.075774,2.754180
0,0.555360,-0.674491,-1.047747,-1.068347
0,-0.052014,0.674491,0.351966,0.997001
1,-1.239541,2.697963,0.119766,-0.000343
1,-0.424964,-0.674491,-1.082253,-3.740959
1,-0.834765,13.489815,0.709670,15.340483
0,1.290611,-1.348982,0.977208,2.974948
1,-2.219423,2.023472,0.742930,-2.563375
1,-0.760464,2.023472,2.083128,3.268897
0,1.170910,-0.674491,0.602921,2.954096
1,-0.961907,2.023472,-0.665591,-1.225765
1,-1.552070,0.000000,-0.847911,-5.581347
0,0.313447,-0.674491,0.020338,-0.178527
0,-0.087350,1.348982,-0.545065,0.449593
0,0.079671,2.697963,-1.008611,1.905496
0,-0.169204,4.046945,1.000910,5.807617
1,0.434703,8.768380,0.942817,13.206213
0,-0.683124,-0.674491,-0.090548,-3.004528
1,1.300686,-1.348982,-0.858607,0.359984
0,0.801375,-0.674491,-1.243026,-0.691135
1,0.118970,-0.674491,-0.541194,-1.506972
