y,rr,longstring,person_total,eta
0,1.993465,2.931961,-0.342277,8.275705
0,2.083794,0.761899,-0.046940,6.246107
0,3.424813,8.357115,0.412715,19.932684
0,0.793396,-0.323132,-0.795676,0.367861
0,-0.327216,-0.323132,1.000042,-0.046229
0,-0.790120,-0.323132,0.070832,-2.622002
0,-1.342965,0.761899,2.100379,0.167679
0,0.980626,-0.323132,-0.939622,0.661661
0,2.901333,0.761899,3.136961,13.015468
0,0.343778,0.761899,-1.104773,0.068194
0,0.182317,0.761899,-0.757425,0.136055
0,0.014979,-0.323132,-1.084115,-2.129963
0,1.144493,-0.323132,-0.561333,1.644499
0,0.646935,0.761899,0.152124,2.688121
0,-0.077616,-0.323132,-0.508954,-1.549997
0,1.634245,0.761899,-0.200799,4.821876
0,1.207727,-0.323132,1.604386,4.930375
0,1.978141,1.846930,-0.752730,6.295871
0,1.564269,0.761899,0.486651,5.623957
0,-0.218511,-0.323132,-0.557600,-1.996982
0,-1.414596,-0.323132,1.327650,-2.484163
0,2.964458,0.761899,2.687503,12.537549
0,1.866205,1.846930,0.606312,7.952172
0,-0.861705,-0.323132,2.954518,1.336378
0,-0.114271,-0.323132,0.233360,-0.579807
0,-1.534799,-0.323132,-0.340463,-5.206359
0,-1.815776,-0.323132,3.003780,-1.145440
0,1.034386,1.846930,1.003084,6.297553
0,-0.757877,0.761899,-0.410501,-1.880269
0,-0.097845,-0.323132,-0.852475,-2.098482
0,0.975786,-0.323132,0.942990,3.357979
0,-0.393898,0.761899,1.090073,1.253070
0,0.200978,-0.323132,0.378595,0.472683
0,2.390754,0.761899,1.153938,8.795593
0,-0.961475,0.761899,1.633382,0.516338
0,-1.459448,-0.323132,2.193464,-1.358175
0,-0.958151,-0.323132,-0.024796,-3.209203
1,1.200572,-0.323132,1.052456,4.116948
0,2.181872,-0.323132,-0.360743,4.708779
0,-0.232347,-0.323132,-1.267359,-3.055414
0,-0.608475,0.761899,0.959338,0.490808
0,2.537443,0.761899,3.642340,12.769133
0,0.325409,-0.323132,-0.823649,-0.924539
0,0.595793,-0.323132,0.310815,1.431505
0,-0.505950,-0.323132,-0.015339,-1.985685
1,0.114479,-0.323132,1.778970,2.256526
0,0.200145,-0.323132,-1.020853,-1.543493
0,-0.190502,-0.323132,-0.268106,-1.505430
0,-0.410540,-0.323132,-0.471539,-2.386924
0,2.556638,0.761899,1.421392,9.624324
0,3.274260,0.761899,1.255308,11.305383
0,-0.052378,-0.323132,-0.023726,-0.784177
0,-0.543252,-0.323132,3.471696,2.932701
0,-1.644160,-0.323132,0.777820,-3.889644
0,3.071624,4.016992,-0.533080,12.233995
0,-0.775437,-0.323132,-0.184371,-2.949979
0,-1.354104,0.761899,-0.073183,-2.990099
0,-2.032817,-0.323132,0.658240,-5.101623
0,2.857329,0.761899,1.289027,10.238369
0,0.514174,0.761899,-0.864064,0.870508
0,0.210239,-0.323132,-0.845855,-1.264645
0,-0.424047,-0.323132,0.077907,-1.632356
0,0.387531,-0.323132,-0.717443,-0.605487
1,-0.399524,-0.323132,1.506615,0.489312
0,-0.186904,-0.323132,-0.837548,-2.315286
0,1.023545,-0.323132,0.215414,2.438706
0,-0.471630,-0.323132,-1.276894,-3.709362
0,1.515416,-0.323132,0.014177,3.465158
0,-1.415947,-0.323132,0.566181,-3.583607
0,2.074407,-1.408163,0.818428,4.770041
0,-1.780442,1.846930,0.855288,-1.446494
0,0.899158,0.761899,-0.467746,2.470915
0,1.004777,-0.323132,-1.008341,0.627387
0,-1.071342,1.846930,0.054959,-0.700981
0,-0.308190,-0.323132,0.305493,-0.994850
0,2.185915,-0.323132,0.446643,5.881507
1,-1.278490,-0.323132,1.049024,-2.520969
0,-0.256070,-0.323132,-0.330931,-1.771274
0,1.938911,-0.323132,1.421437,6.623448
0,0.956561,0.761899,0.320381,3.758696
0,0.373442,-0.323132,0.250255,0.749432
0,0.200180,0.761899,-1.143380,-0.371576
0,-0.319892,-0.323132,0.238989,-1.121864
0,-0.891407,0.761899,0.868601,-0.396784
0,0.115537,-0.323132,-0.778030,-1.420422
0,-0.330307,-0.323132,0.164851,-1.256423
0,2.832616,4.016992,3.892984,17.964052
0,1.273879,-0.323132,-0.620363,1.905735
0,1.309744,-0.323132,0.129544,3.080888
0,1.326388,-0.323132,-1.176634,1.245699
0,2.578671,0.761899,2.638712,11.435122
0,3.128878,0.761899,3.664143,14.382954
0,-0.852586,-0.323132,-0.719420,-3.926387
0,0.977785,-0.323132,1.556313,4.245961
0,-0.617308,-0.323132,-0.102376,-2.408889
0,-2.284517,-0.323132,1.952791,-3.912082
0,0.073261,0.761899,-0.673801,-0.035389
0,2.512889,1.846930,0.593354,9.663792
0,1.222715,-0.323132,1.898540,5.393794
0,0.316307,-0.323132,-0.628930,-0.668675
0,0.758152,-0.323132,2.508798,5.029033
0,-0.469272,-0.323132,0.702471,-0.854548
0,2.418434,-0.323132,5.456615,13.713487
0,-0.056423,-0.323132,1.397080,1.249681
0,-0.677584,-0.323132,-0.787597,-3.556266
0,0.416110,0.761899,1.054793,3.369556
0,-1.622485,0.761899,0.020813,-3.572909
0,-0.462508,-0.323132,0.052163,-1.772309
0,0.378968,-0.323132,-0.453560,-0.248643
0,3.133289,-0.323132,3.939235,13.442490
0,-0.092484,-0.323132,-0.538707,-1.632594
0,-0.602526,-0.323132,-1.237807,-4.003338
0,2.535030,-0.323132,1.712332,8.637052
0,-0.460901,-0.323132,-1.004542,-3.288713
0,1.811669,0.761899,-0.296568,5.158770
0,1.529143,-0.323132,0.146419,3.692195
0,0.596325,-0.323132,0.904217,2.286894
0,-1.292541,-1.408163,-0.915864,-6.734385
0,3.309136,-0.323132,2.008253,11.134109
0,-0.131937,-0.323132,-1.274775,-2.797430
0,-0.725249,-0.323132,0.344891,-2.054034
0,2.209485,-0.323132,0.080546,5.417721
0,1.016614,0.761899,-0.018563,3.431597
0,1.825655,-0.323132,1.984886,7.131280
0,-0.357567,-0.323132,-0.714165,-2.594353
0,0.112431,-0.323132,-1.257580,-2.118855
0,0.227957,-0.323132,0.033690,0.048514
0,-0.573965,2.931961,1.672312,4.305485
0,-0.136428,-0.323132,1.564174,1.276087
0,0.715610,-0.323132,0.446208,1.946932
0,2.491536,0.761899,0.590825,8.254869
0,2.922285,-0.323132,2.535207,10.857391
0,-0.836354,-0.323132,-0.170819,-3.093466
1,-1.936036,-0.323132,3.827968,-0.281120
0,-0.330592,-0.323132,-0.320161,-1.955167
0,0.643181,-0.323132,0.559379,1.916006
0,2.491782,-0.323132,1.619030,8.387067
0,-1.250530,0.761899,0.207930,-2.308427
0,0.768003,-0.323132,-0.052199,1.369858
0,0.710968,0.761899,0.944135,3.999229
0,-0.488687,-1.408163,-0.218151,-3.579514
