y,rr,longstring,person_total,eta
0,-0.196318,-1.251429,5.883859,6.178893
1,-4.057156,1.767187,4.705541,-2.096251
1,-1.994659,0.257879,4.281812,0.937060
1,-1.973442,0.257879,4.518238,1.334069
1,-0.372775,0.257879,4.250800,5.231943
1,-4.316632,0.257879,5.297941,-3.813300
1,-4.057156,1.767187,4.705541,-2.096251
1,-1.630755,0.257879,4.273667,1.899001
1,-0.510164,0.257879,5.013531,5.961993
1,-3.792762,0.257879,2.714142,-6.129977
0,-0.811607,0.257879,1.648179,0.312374
0,-4.239237,0.257879,5.177183,-3.780003
0,-3.773554,1.767187,4.595397,-1.495957
0,-0.549662,0.257879,1.874316,1.338666
0,-1.211231,0.257879,1.374616,-1.150546
0,-1.345112,0.257879,3.555407,1.629620
0,-2.949960,0.257879,0.013067,-7.762094
0,0.522359,0.257879,3.204188,6.120785
0,0.040154,1.767187,2.759303,6.065678
0,-2.927188,1.767187,5.680741,2.330499
0,-2.109456,0.257879,1.878046,-2.829351
0,0.029407,1.767187,2.636924,5.860808
1,0.788231,0.257879,6.160003,11.085866
1,-4.314678,1.767187,5.296117,-1.935381
1,-5.425829,0.257879,6.454117,-5.117213
1,-2.507277,0.257879,4.669480,0.123393
1,-4.057156,1.767187,4.705541,-2.096251
1,-3.182856,1.767187,5.470313,1.343608
1,-2.927188,1.767187,5.680741,2.330499
1,-4.057156,1.767187,4.705541,-2.096251
1,0.588104,0.257879,2.893337,5.849347
1,-2.712178,1.767187,4.212325,0.792584
1,-4.239237,0.257879,5.177183,-3.780003
1,-3.852447,1.767187,5.042051,-1.064260
1,-3.773554,1.767187,4.595397,-1.495957
1,-3.363149,0.257879,4.430108,-2.511060
0,-0.362438,0.257879,3.172942,3.708457
0,-4.289565,0.257879,5.782925,-3.042938
0,-1.660661,1.767187,2.973600,1.823374
0,-0.045318,-1.251429,4.003381,3.876711
0,-1.169738,1.767187,3.616843,4.062578
0,-0.246665,0.257879,1.170508,1.136515
0,-0.731249,1.767187,6.131464,8.854592
0,-3.485999,1.767187,5.007922,-0.132908
0,0.169584,0.257879,7.237705,10.981534
0,-1.131365,-1.251429,2.784747,-0.782851
1,-1.609880,1.767187,4.740788,4.502403
1,-2.435411,0.257879,5.456086,1.447681
1,-3.852447,1.767187,5.042051,-1.064260
1,-3.485999,1.767187,5.007922,-0.132908
1,-3.773554,1.767187,4.595397,-1.495957
1,-1.449766,1.767187,4.584357,4.705685
1,-4.057156,1.767187,4.705541,-2.096251
1,0.572319,0.257879,4.459223,8.060578
1,-3.773554,1.767187,4.595397,-1.495957
1,-4.553040,0.257879,5.346161,-4.376440
1,-4.057156,1.767187,4.705541,-2.096251
1,-4.594591,0.257879,5.553166,-4.189714
1,-4.453466,1.767187,6.410541,-0.702953
1,-3.313134,1.767187,1.531056,-4.673949
1,-5.316581,0.257879,6.584386,-4.637440
0,-2.949960,0.257879,0.013067,-7.762094
0,-3.773554,1.767187,4.595397,-1.495957
0,-1.398909,1.767187,2.991106,2.548909
0,-1.414747,0.257879,1.501227,-1.512868
0,-3.971022,0.257879,6.063112,-1.787426
0,-3.095426,-1.251429,0.240884,-9.698767
0,-1.452717,1.767187,4.389260,4.417026
0,-2.183694,0.257879,4.351082,0.530964
1,-2.194204,0.257879,5.237086,1.777893
1,-1.174256,1.767187,4.837262,5.806794
1,-3.861568,1.767187,5.775694,-0.032880
1,-2.338655,1.767187,10.353544,10.629810
1,-2.646605,0.257879,4.815261,-0.039600
1,-4.914329,0.257879,5.443067,-5.203646
1,-2.031376,0.257879,1.953919,-2.511251
1,-4.293769,1.767187,5.518013,-1.560106
0,-3.363149,0.257879,4.430108,-2.511060
0,-3.802499,1.767187,1.791418,-5.608606
0,-2.515823,1.767187,4.589679,1.861001
0,-3.199046,1.767187,1.991276,-3.706393
1,-0.269891,0.257879,3.842336,4.919401
1,-2.405391,1.767187,3.628250,0.772881
1,0.691355,0.257879,-0.040359,1.903725
1,0.339100,1.767187,1.463191,5.000305
1,-1.728491,0.257879,2.492871,-0.925246
0,-2.769891,1.767187,3.640716,-0.184437
0,-1.954996,0.257879,3.294069,-0.378279
0,-1.856138,1.767187,0.029781,-2.936095
0,-0.166811,-1.251429,5.202155,5.276802
0,-0.092450,-1.251429,0.214796,-1.701547
0,-0.417378,0.257879,-1.225960,-2.769001
