y,rr,longstring,person_total,eta
0,-0.189515,0.000000,2.827430,3.353489
0,0.739972,1.348982,-0.458143,2.788265
0,0.846218,0.674491,1.664405,5.289041
0,1.293563,0.674491,0.234436,4.428088
0,0.101345,0.000000,0.332044,0.540602
0,-1.719097,0.000000,1.290109,-2.951421
0,-0.143110,-0.674491,1.158423,0.237727
0,-0.312326,0.000000,0.897559,0.247617
0,1.419741,0.674491,-0.449567,3.781341
0,-0.215113,0.000000,-0.787575,-1.917354
0,0.378640,0.000000,-0.495722,0.091295
0,0.649651,0.000000,0.270236,1.918702
0,-0.716353,0.000000,0.058501,-2.040887
0,0.301849,-0.674491,0.229086,0.090851
0,-1.318665,0.000000,-0.229797,-4.067320
0,1.334067,0.000000,-0.026757,3.322524
0,0.114222,-0.674491,-1.198616,-2.465770
0,-0.200780,-0.674491,-1.026538,-3.060952
0,0.905322,0.000000,-0.227866,1.885957
0,-1.086694,0.000000,-1.419814,-5.159214
0,-0.639735,0.000000,-0.235433,-2.258885
0,-1.099415,0.674491,-1.075961,-3.860356
0,-0.773293,0.000000,-1.583156,-4.555742
0,-0.923410,0.674491,2.066971,1.133556
0,1.043291,0.674491,0.255458,3.788714
0,-0.492099,0.000000,0.218069,-1.211237
0,-1.556803,0.000000,0.448187,-3.728796
0,-0.461029,-0.674491,0.622030,-1.384821
0,-0.828744,0.000000,-1.179663,-4.123440
0,-0.563983,-0.674491,-0.357588,-3.070051
0,0.411607,-0.674491,1.066132,1.589112
0,-0.612206,-0.674491,0.006836,-2.674636
0,0.066019,1.348982,-0.713631,0.617364
0,-0.796397,2.023472,-1.079748,-1.378942
0,0.853230,-0.674491,1.214971,2.984912
0,0.055960,0.000000,1.309966,1.826499
0,-0.686984,-0.674491,-0.798066,-4.033045
0,-0.984575,-0.674491,2.745459,0.270207
0,-1.003227,0.674491,-0.920658,-3.379498
0,-0.816257,0.000000,0.778150,-1.272540
0,0.539805,0.674491,-0.816518,0.898907
0,-1.872075,0.000000,0.167677,-4.976019
0,0.842961,0.674491,-0.028977,2.843379
0,-1.380908,0.000000,-0.236052,-4.242859
0,-1.613938,0.674491,-0.798936,-4.838346
0,-0.016742,0.000000,-0.227060,-0.579957
0,0.936337,0.000000,0.925127,3.628215
0,1.163087,0.674491,2.726739,7.665661
0,-0.625780,0.674491,0.333251,-0.565100
0,0.114833,0.000000,0.847463,1.318430
0,-0.496306,0.000000,0.402819,-0.956620
0,-0.263590,0.000000,-0.288036,-1.328174
0,-0.412967,0.674491,-0.603143,-1.343262
0,0.221205,-0.674491,0.261358,-0.078480
0,-0.394426,0.000000,-0.424805,-1.875062
0,-0.088164,0.000000,-0.141024,-0.647239
0,-1.342657,-0.674491,-1.511898,-6.814642
0,0.302209,2.023472,1.560304,5.359789
0,-0.903315,0.000000,0.985445,-1.207155
0,-0.154774,0.000000,-0.842013,-1.834256
0,1.247656,0.000000,-1.383920,1.138230
0,0.589698,0.000000,0.561908,2.178038
0,-1.485560,-0.674491,-0.517813,-5.766404
0,0.592404,0.000000,-0.029870,1.333649
0,-1.724332,0.674491,2.470920,-0.428068
0,0.376332,0.674491,-0.580866,0.800643
0,-0.091837,0.000000,-0.445321,-1.094981
0,-0.248801,0.000000,-1.079095,-2.427018
0,-0.228553,0.000000,1.216708,0.931047
0,1.252125,0.000000,-0.012325,3.124048
0,0.851744,0.000000,1.637092,4.426464
0,0.100618,2.023472,0.756129,3.663124
