y,rr,longstring,person_total,eta
0,0.362093,0.674491,0.394446,2.166120
0,1.431259,-2.023472,-0.165158,0.869233
0,-1.218935,3.372454,-0.591974,-0.131419
0,-1.809305,0.674491,1.203740,-2.479020
0,1.090300,-1.348982,0.328903,1.506021
0,0.599639,0.000000,0.449616,2.043037
0,1.617088,0.674491,0.435324,5.582810
0,-0.915912,2.023472,-0.170837,-0.390701
0,-0.370330,0.674491,-0.457925,-1.020200
0,-0.052223,1.348982,-0.354693,0.817541
0,0.537201,2.023472,0.131129,3.931806
0,-1.387653,1.348982,2.945243,1.993404
0,-0.055650,-1.348982,-0.789734,-3.169913
0,-1.998461,0.000000,0.972921,-4.155353
0,-0.229913,0.674491,0.916109,1.332871
0,-1.073416,-0.674491,2.429522,-0.422162
0,0.287547,0.000000,0.209790,0.862869
0,-0.198227,1.348982,2.679275,4.793079
0,0.323348,-0.674491,0.737100,0.879457
0,0.098803,0.000000,-0.758048,-1.034950
0,-0.361641,0.000000,-0.242106,-1.524423
0,-0.468982,0.674491,3.577603,4.523376
0,0.151882,1.348982,0.314170,2.326205
0,-1.866368,0.000000,1.808976,-2.598756
0,0.707364,0.674491,-0.249866,2.162695
0,0.987333,0.674491,-1.661863,0.879774
0,-1.542126,1.348982,0.413865,-2.062811
0,-0.058414,-0.674491,-0.502508,-1.925905
0,0.088592,0.000000,-0.709340,-0.992173
0,0.659647,-0.674491,0.666119,1.677108
0,-0.249611,0.000000,0.341701,-0.384518
0,1.041754,1.348982,-0.028199,4.214446
0,-1.084959,2.697963,-0.254315,-0.125083
0,0.425146,0.674491,0.861006,3.006250
0,0.026525,0.674491,-0.615636,-0.185336
0,0.526247,2.697963,2.240740,7.776493
0,0.492668,-1.348982,-0.257386,-0.936731
0,-0.080509,0.000000,0.134968,-0.229576
0,0.859142,0.000000,-0.539455,1.313991
0,1.517494,-0.674491,0.507252,3.743738
0,1.373253,0.000000,1.193913,5.184037
0,-0.265436,0.674491,-1.018097,-1.545689
0,0.451248,0.000000,0.586533,1.843038
0,-0.081953,1.348982,-0.197221,0.964617
0,0.833339,0.674491,1.035789,4.349940
0,-0.701274,-1.348982,0.973322,-2.360132
0,1.005069,1.348982,-0.167558,3.915738
0,-1.408101,0.000000,-0.000612,-3.976797
0,-0.023704,0.000000,-0.511788,-1.008336
0,-0.418975,0.674491,-1.508947,-2.662882
0,-0.862701,0.674491,-1.137319,-3.315305
0,0.409899,0.000000,0.180743,1.148434
0,1.591671,-0.674491,1.070363,4.752580
0,0.108400,0.000000,0.423131,0.690563
0,1.391717,0.674491,-0.102425,4.205932
0,0.002504,0.674491,1.322769,2.539953
0,-0.703389,0.674491,0.055056,-1.173101
0,0.320662,-0.674491,-0.717934,-1.221669
0,-0.078364,0.674491,1.266801,2.243038
0,-1.769703,0.000000,-0.695514,-5.944333
0,1.395486,2.023472,0.737410,7.100733
0,-0.560147,1.348982,1.095066,1.544891
0,-0.769272,1.348982,0.088348,-0.463413
0,1.521448,-0.674491,1.337605,4.949280
0,0.465907,2.023472,1.228319,5.320018
0,0.851129,0.674491,-0.182891,2.643736
0,-0.553903,-1.348982,1.166259,-1.688169
0,-0.961637,0.674491,-1.355979,-3.894691
0,0.999822,2.023472,0.407288,5.567017
0,0.187744,2.023472,-0.294128,2.384813
0,1.164702,1.348982,-0.642120,3.659912
0,-0.234995,2.697963,0.107563,2.669859
0,-0.694369,2.023472,1.393992,2.454004
0,-0.820792,1.348982,0.578122,0.103573
0,-0.955122,0.674491,-0.657361,-2.871877
0,1.101490,-0.674491,-0.154535,1.678301
0,-0.845644,-0.674491,-0.276274,-3.706646
0,1.589944,0.000000,2.508530,7.655679
0,0.308556,-0.674491,0.110526,-0.061825
0,0.049855,0.000000,-1.125565,-1.694809
0,0.089068,-1.348982,-0.158246,-1.873931
0,-1.523188,2.023472,1.959734,1.050576
0,1.582560,2.023472,-0.578276,5.707864
0,0.666390,0.674491,-0.868511,1.162773
0,0.239644,0.674491,-0.666619,0.311514
0,0.720847,0.674491,0.002447,2.561875
0,0.037156,0.000000,-1.206981,-1.845952
0,-0.964596,0.674491,-0.506542,-2.680184
