y,rr,longstring,person_total,eta
0,0.662012,-1.011736,-0.672547,-0.662064
1,-2.004229,-0.843113,-0.620420,-7.511329
0,-2.694174,0.674491,-1.450624,-8.666471
0,-2.258613,0.505868,-1.308844,-7.506562
0,-2.459448,0.843113,-1.312504,-7.630155
1,-0.112018,-1.011736,1.116958,-0.157784
0,-2.728557,0.674491,-1.325044,-8.577743
1,0.608843,-0.674491,-0.168008,0.340784
1,-0.428841,-1.011736,0.838648,-1.405991
1,0.399792,-1.011736,0.645165,0.532658
0,-0.291724,1.011736,0.777778,1.387445
1,0.011919,-1.011736,0.423347,-0.824352
0,0.208242,-0.337245,-0.212337,-0.375829
1,0.304781,-0.674491,-0.517141,-0.975201
1,0.122733,-0.674491,-0.169072,-0.961382
1,-0.299605,0.337245,1.355870,1.360238
0,-0.808986,0.505868,-0.762817,-2.842152
1,0.729324,3.372454,0.674491,6.903912
0,0.247284,-0.843113,0.706415,0.422266
1,-0.975239,0.843113,-0.984040,-3.186314
0,-2.611282,0.674491,-1.545734,-8.581558
0,-1.098966,0.843113,-1.246952,-3.895714
0,0.043061,1.180359,-1.150311,-0.282002
0,0.587332,0.843113,-0.673275,1.441725
0,-2.673753,0.674491,-1.619440,-8.854774
0,-2.485668,-0.337245,-1.484568,-9.414524
0,-2.874804,-0.337245,-1.514597,-10.498909
1,-0.868882,-0.168623,-0.539495,-3.519081
0,-0.178059,-0.843113,0.416008,-1.133707
0,-2.236156,-0.505868,-1.180089,-8.518267
0,-2.556759,0.843113,-1.486497,-8.140914
0,-0.710035,0.337245,-1.105884,-3.280620
1,-1.384697,-0.505868,-0.905624,-5.845121
0,0.206949,-0.337245,0.521945,0.677418
0,-2.567571,0.168623,-1.602083,-9.174237
0,-0.077009,0.674491,-0.779452,-0.698099
0,0.709088,0.000000,-0.063909,1.596863
0,0.616736,-0.505868,0.078736,0.926508
0,-1.987811,1.686227,-0.201500,-3.721830
0,-1.610830,-0.505868,-1.237627,-6.927947
0,-2.467954,-0.505868,-0.987059,-8.860676
0,-0.379691,0.168623,-0.816301,-2.189525
1,-0.319979,-0.843113,-0.522125,-2.863494
1,-1.309639,-0.337245,-1.078366,-5.683374
0,-0.488331,-0.674491,-0.626738,-3.254971
0,-2.025344,0.000000,-1.240458,-7.412552
0,-1.939977,0.000000,-0.737918,-6.460940
0,-2.176117,-0.505868,-1.246672,-8.453446
0,0.255685,-0.843113,0.731130,0.480310
0,-1.802719,0.000000,-1.015252,-6.492806
0,-2.613861,-0.337245,-1.253188,-9.424536
0,-0.439050,-0.674491,-0.241424,-2.568609
0,-2.549403,0.000000,-1.199696,-8.756066
0,-2.539477,0.337245,-0.925582,-7.916003
0,-2.410347,0.505868,-1.495057,-8.180521
0,-2.489679,0.674491,-1.403931,-8.052127
0,-2.636530,0.843113,-1.590280,-8.503702
0,0.173840,-1.180359,-0.071121,-1.312219
1,-2.074541,0.000000,-1.088400,-7.325358
0,-2.742128,-0.168623,-1.624945,-10.093210
0,-1.599795,0.843113,-1.553251,-5.676527
0,0.438176,-0.674491,0.529285,0.887622
0,-2.675868,0.674491,-1.636712,-8.885291
0,0.640034,0.168623,-0.336196,1.229769
1,0.436647,-1.011736,1.025658,1.178835
0,-0.692988,-0.337245,-1.011187,-3.936787
0,-2.029509,-0.168623,-0.956287,-7.224261
0,-0.482154,-0.843113,0.859984,-1.308416
1,0.729324,3.372454,0.674491,6.903912
0,0.729324,3.372454,0.674491,6.903912
0,-0.264582,0.843113,-0.868750,-1.118965
0,0.729324,3.372454,0.674491,6.903912
0,0.729324,3.372454,0.674491,6.903912
1,0.389707,0.505868,0.543554,2.245070
0,0.252042,-0.674491,0.099482,-0.228927
1,-2.566610,0.674491,-1.317754,-8.133947
0,-1.068639,0.843113,-1.281908,-3.864874
0,-1.895683,0.168623,-1.203476,-6.802897
0,0.256825,-0.674491,-0.163793,-0.595009
1,-0.888727,-0.674491,-0.465749,-4.094594
1,-0.158679,-0.843113,0.492449,-0.971846
0,-0.593942,1.686227,-0.192590,0.020430
0,0.133496,-0.505868,-0.205713,-0.775801
0,-0.712570,-0.505868,-1.208124,-4.482103
