y,rr,longstring,person_total,eta
0,0.204248,1.686227,-0.108162,2.277566
0,1.305986,-1.011736,1.528267,4.228144
0,-0.985901,0.674491,-0.606033,-2.880364
0,-0.954941,2.023472,0.545648,0.535968
0,-1.778105,-0.674491,-1.439567,-7.875633
0,1.521606,-1.011736,1.756101,5.132932
0,0.182920,-0.337245,0.133468,0.054068
0,1.066093,3.709699,1.065436,8.786608
0,-1.081771,1.011736,-1.393981,-3.851782
1,1.958557,0.674491,2.817000,9.923914
0,-0.954237,0.674491,-1.307787,-3.805538
0,-0.495905,-0.337245,-0.292428,-2.375103
0,0.736717,-1.011736,-0.369346,-0.025847
1,0.179611,27.654121,2.877814,38.773875
0,-0.018682,-0.674491,0.329138,-0.622778
0,0.715166,-0.674491,-0.044033,0.803675
0,1.539744,1.011736,0.752807,6.251787
0,0.768508,-0.337245,1.404400,3.449863
0,-0.388549,0.000000,0.366420,-0.720686
0,-0.839730,-0.674491,-1.110887,-4.891913
0,-0.096600,0.674491,0.078899,0.484737
0,-0.671283,0.000000,-0.052623,-2.080213
0,0.711891,1.686227,0.679618,4.769510
0,0.393247,1.011736,0.038989,2.156963
0,-0.339283,-1.011736,-0.370456,-2.906390
0,0.736551,2.360718,0.734875,5.753067
0,-1.773194,-0.674491,-1.399766,-7.805216
0,-0.242968,-1.011736,-0.215687,-2.425962
0,0.548215,-1.011736,0.874832,1.260294
0,1.238221,4.384190,-0.246481,8.197230
0,1.257968,0.000000,-0.843074,1.944152
0,0.066332,-0.337245,-0.028927,-0.491577
1,1.661355,-0.337245,1.467519,5.929600
0,-0.881426,0.337245,-0.697054,-3.150847
0,1.339338,1.011736,0.204696,4.926791
0,-0.520627,-1.011736,0.118113,-2.688497
1,1.900977,2.023472,1.695428,9.831909
0,1.540918,-1.348982,1.081573,3.794862
0,2.326551,-0.337245,2.457813,9.134530
0,1.333164,-0.674491,1.128570,4.144683
0,-0.458387,2.023472,-0.539466,0.302960
1,-0.242058,0.674491,0.551336,0.775430
0,0.505906,1.686227,-0.329349,2.766374
0,-0.420714,0.000000,-0.286680,-1.746622
0,0.088772,-1.011736,0.051321,-1.154107
0,0.777202,-1.348982,-0.124791,0.015386
0,-0.214448,1.011736,-0.902433,-0.823787
0,1.274539,1.348982,1.828596,7.509399
1,1.531471,3.372454,1.957421,10.896401
0,-0.781412,1.348982,-0.646829,-1.553889
1,1.687499,2.023472,1.876851,9.521812
