"dataset","n","J","gate","prev","chk","AUC_shipped","AUC_rounded","AUC_int311","AUC_unweighted","AUC_pert_mean","AUC_pert_min","AUC_refit","max_abs_dev"
"warning300",812,301,1,0.261,2.5e-06,0.733,0.732,0.715,0.742,0.73,0.695,0.751,0.018
"smarvus",4000,141,1,0.1,2.8e-06,0.833,0.834,0.835,0.813,0.829,0.792,0.853,0.02
"opsy_16pf",4000,163,1,0.008,2.9e-06,0.682,0.684,0.688,0.64,0.677,0.579,0.723,0.042
"douglas",2071,50,1,0.801,2.7e-06,0.507,0.506,0.5,0.521,0.508,0.496,0.537,0.014
"duckworth",3874,50,1,0.26,2.9e-06,0.464,0.465,0.474,0.454,0.464,0.441,0.571,0.01
"krause",1783,49,1,0.448,2.9e-06,0.749,0.747,0.731,0.758,0.745,0.699,0.774,0.017
"alvarez19",1887,6,0.899,0.087,0.00013,0.723,0.723,0.721,0.727,0.724,0.714,0.718,0.004
"ivanov21",869,41,1,0.203,2.7e-06,0.771,0.77,0.753,0.771,0.765,0.708,0.82,0.018
"mastroianni22",1004,100,1,0.029,2.5e-06,0.532,0.525,0.457,0.631,0.533,0.413,0.726,0.099
"moss23",2107,8,1,0.101,2.6e-06,0.565,0.552,0.441,0.745,0.58,0.385,0.808,0.18
"ogrady19",358,30,1,0.059,2.4e-06,0.677,0.676,0.67,0.676,0.675,0.66,0.633,0.007
"pennycook20",853,30,1,0.272,2.8e-06,0.594,0.594,0.594,0.586,0.592,0.576,0.583,0.008
