y,rr,longstring,person_total,eta
0,-3.430761,-1.348982,-1.064134,-12.595248
0,-4.573308,-0.674491,-3.421557,-18.206761
0,0.606356,-0.674491,-2.954919,-3.676513
0,0.990545,0.674491,-3.194055,-1.316609
1,-1.799682,-1.348982,-1.239255,-8.483150
0,-1.494400,0.000000,-1.910750,-6.956578
0,-2.498588,0.000000,-2.380415,-10.319277
0,-2.413584,-0.674491,-2.281987,-10.788248
0,-0.140724,-0.674491,-2.571112,-5.123064
0,-0.989041,0.000000,-2.876766,-6.994633
0,-0.155347,0.000000,-2.591086,-4.352878
0,1.472163,0.000000,-3.601041,-1.451739
0,-0.503029,-2.023472,-2.934841,-8.291998
0,0.810107,-1.348982,-2.815616,-3.768940
0,-3.497185,-0.674491,-2.274053,-13.676113
0,-3.964832,0.000000,-0.248388,-11.174160
0,-2.055313,-0.674491,-2.383747,-9.976101
0,0.447481,0.000000,-1.965835,-1.840153
0,0.413494,-1.348982,-2.546937,-4.443464
0,2.222757,-1.348982,-3.521565,-1.005184
0,-0.166781,0.000000,0.479768,0.035795
0,-3.932083,-1.348982,-1.779839,-14.966556
0,-7.019657,0.000000,0.419352,-18.386704
0,-0.398284,0.000000,-3.527001,-6.349758
1,-0.898781,-1.348982,-0.448401,-4.934583
0,0.011989,-1.348982,-2.865259,-5.975826
0,0.961928,2.023472,0.501424,5.601097
0,-4.001222,0.674491,-3.266692,-14.777112
0,-3.399540,2.023472,-2.159352,-9.897570
0,0.836633,0.000000,-3.604795,-3.157566
0,0.939394,-0.674491,-3.665232,-3.807648
0,0.152748,0.000000,-0.193332,-0.077930
0,0.182504,2.023472,0.374856,3.333528
0,0.335312,-0.674491,-0.050233,-0.221585
0,-2.981070,0.000000,-2.272540,-11.454963
0,-1.190612,0.000000,-2.849622,-7.494892
0,-3.142448,-1.348982,-2.717942,-14.203834
1,-0.435608,1.348982,0.695671,1.303338
0,-1.117570,-0.674491,-2.552307,-7.709650
0,-0.381276,2.697963,0.539479,2.900042
