dataset,n,rate,index,auc,gate_open,n_flagged,flag_share,mcc,precision,recall,pi_hat
kay_s2,701,0.050,ens,0.920,true,183,0.2611,0.341,0.175,0.914,0.439
kay_s2,701,0.050,rc,0.914,true,65,0.0927,0.446,0.354,0.657,0.125
kay_s2,701,0.050,PT,0.893,true,206,0.2939,0.298,0.150,0.886,0.390
kay_s2,701,0.050,Mahalanobis,0.495,true,22,0.0314,0.147,0.227,0.143,0.135
kay_s2,701,0.050,IRV,0.803,true,20,0.0285,0.275,0.400,0.229,0.000
kay_s2,701,0.050,LongString,0.701,true,242,0.3452,0.150,0.095,0.657,0.407
kay_s2,701,0.050,PsychSyn,0.880,true,157,0.2240,0.254,0.153,0.686,0.367
warning300,812,0.261,ens,0.730,true,33,0.0406,0.176,0.636,0.099,0.000
warning300,812,0.261,rc,0.617,false,3,0.0037,0.102,1.000,0.014,0.000
warning300,812,0.261,PT,0.734,true,2,0.0025,-0.030,0.000,0.000,0.000
warning300,812,0.261,Mahalanobis,0.395,true,54,0.0665,0.010,0.278,0.071,0.133
warning300,812,0.261,IRV,0.718,true,2,0.0025,0.084,1.000,0.009,0.000
warning300,812,0.261,LongString,0.636,true,83,0.1022,0.170,0.482,0.189,0.173
warning300,812,0.261,PsychSyn,0.627,false,6,0.0074,0.014,0.333,0.009,0.000
kay_s1,500,0.288,ens,0.556,true,64,0.1280,0.140,0.453,0.201,0.120
kay_s1,500,0.288,rc,0.536,false,0,0.0000,0.000,NA,0.000,0.000
kay_s1,500,0.288,PT,0.628,true,98,0.1960,0.164,0.439,0.299,0.294
kay_s1,500,0.288,Mahalanobis,0.453,true,20,0.0400,-0.040,0.200,0.028,0.113
kay_s1,500,0.288,IRV,0.599,true,54,0.1080,0.177,0.519,0.194,0.275
kay_s1,500,0.288,LongString,0.519,true,175,0.3500,-0.004,0.286,0.347,0.444
kay_s1,500,0.288,PsychSyn,0.569,true,77,0.1540,0.132,0.429,0.229,0.241
opsy_16pf,35381,0.007,ens,0.645,true,926,0.0262,0.078,0.049,0.170,0.014
opsy_16pf,35381,0.007,rc,0.631,false,173,0.0049,0.050,0.069,0.045,0.000
opsy_16pf,35381,0.007,PT,0.640,true,5158,0.1458,0.051,0.018,0.351,0.293
opsy_16pf,35381,0.007,Mahalanobis,0.548,true,5072,0.1434,0.021,0.012,0.226,0.270
opsy_16pf,35381,0.007,IRV,0.573,false,157,0.0044,0.048,0.070,0.042,0.000
opsy_16pf,35381,0.007,LongString,0.502,true,14654,0.4142,-0.003,0.007,0.400,0.304
opsy_16pf,35381,0.007,PsychSyn,0.607,true,6371,0.1801,0.034,0.014,0.332,0.326
smarvus,10234,0.105,ens,0.826,true,1571,0.1535,0.414,0.402,0.590,0.277
smarvus,10234,0.105,rc,0.783,true,543,0.0531,0.416,0.643,0.326,0.143
smarvus,10234,0.105,PT,0.824,true,1126,0.1100,0.414,0.465,0.489,0.210
smarvus,10234,0.105,Mahalanobis,0.629,true,1869,0.1826,0.175,0.218,0.380,0.318
smarvus,10234,0.105,IRV,0.613,true,181,0.0177,0.201,0.564,0.095,0.046
smarvus,10234,0.105,LongString,0.530,true,3388,0.3311,0.039,0.122,0.385,0.459
smarvus,10234,0.105,PsychSyn,0.782,true,706,0.0690,0.442,0.602,0.397,0.133
kay_s6,562,0.368,ens,0.688,true,30,0.0534,-0.050,0.267,0.039,0.000
kay_s6,562,0.368,rc,0.573,false,0,0.0000,0.000,NA,0.000,0.000
kay_s6,562,0.368,PT,0.758,true,0,0.0000,0.000,NA,0.000,0.000
kay_s6,562,0.368,Mahalanobis,0.338,true,201,0.3577,-0.193,0.244,0.237,0.476
kay_s6,562,0.368,IRV,0.710,true,0,0.0000,0.000,NA,0.000,0.000
kay_s6,562,0.368,LongString,0.622,true,125,0.2224,0.204,0.552,0.333,0.215
kay_s6,562,0.368,PsychSyn,0.708,true,0,0.0000,0.000,NA,0.000,0.000
kay_s5,629,0.087,ens,0.740,true,85,0.1351,0.190,0.224,0.345,0.290
kay_s5,629,0.087,rc,0.629,true,3,0.0048,-0.021,0.000,0.000,0.119
kay_s5,629,0.087,PT,0.714,true,148,0.2353,0.226,0.203,0.545,0.341
kay_s5,629,0.087,Mahalanobis,0.507,true,57,0.0906,0.020,0.105,0.109,0.150
kay_s5,629,0.087,IRV,0.660,true,55,0.0874,0.203,0.273,0.273,0.157
kay_s5,629,0.087,LongString,0.535,true,55,0.0874,0.064,0.145,0.145,0.000
kay_s5,629,0.087,PsychSyn,0.644,true,217,0.3450,0.036,0.101,0.400,0.292
douglas,2071,0.801,ens,0.507,true,582,0.2810,0.029,0.820,0.288,0.387
douglas,2071,0.801,rc,0.490,true,408,0.1970,0.007,0.806,0.198,0.297
douglas,2071,0.801,PT,0.542,true,949,0.4582,0.053,0.824,0.471,0.543
douglas,2071,0.801,Mahalanobis,0.465,true,372,0.1796,-0.104,0.712,0.160,0.291
douglas,2071,0.801,IRV,0.599,true,67,0.0324,0.057,0.925,0.037,0.118
douglas,2071,0.801,LongString,0.526,true,523,0.2525,0.025,0.818,0.258,0.112
douglas,2071,0.801,PsychSyn,0.505,true,731,0.3530,-0.024,0.788,0.347,0.495
krause,1783,0.448,ens,0.751,true,266,0.1492,0.396,0.917,0.306,0.231
krause,1783,0.448,rc,0.564,true,0,0.0000,0.000,NA,0.000,0.000
krause,1783,0.448,PT,0.749,true,239,0.1340,0.344,0.883,0.264,0.257
krause,1783,0.448,Mahalanobis,0.555,true,158,0.0886,0.112,0.627,0.124,0.164
krause,1783,0.448,IRV,0.564,false,29,0.0163,0.143,1.000,0.036,0.024
krause,1783,0.448,LongString,0.662,true,850,0.4767,0.229,0.567,0.604,0.658
krause,1783,0.448,PsychSyn,0.580,false,9,0.0050,0.079,1.000,0.011,0.000
duckworth,3874,0.260,ens,0.464,true,370,0.0955,-0.049,0.195,0.071,0.212
duckworth,3874,0.260,rc,0.499,false,5,0.0013,-0.005,0.200,0.001,0.000
duckworth,3874,0.260,PT,0.425,true,731,0.1887,-0.067,0.200,0.145,0.317
duckworth,3874,0.260,Mahalanobis,0.483,true,470,0.1213,-0.004,0.255,0.119,0.229
duckworth,3874,0.260,IRV,0.434,false,45,0.0116,-0.037,0.111,0.005,0.061
duckworth,3874,0.260,LongString,0.495,true,2301,0.5940,-0.004,0.259,0.591,0.517
duckworth,3874,0.260,PsychSyn,0.459,true,1680,0.4337,-0.039,0.241,0.401,0.545
