set,index,n_datasets,mean_auc,mean_mcc_auto,mean_flag_share,n_abstain,wins_auc,p_auc,wins_mcc,p_mcc
nine,ens,9,0.7070,0.1904,0.1365,0,NaN,NaN,NaN,NaN
nine,rc,9,0.6374,0.1111,0.0396,3,9,0.0020,6,0.1016
nine,PT,9,0.7202,0.1689,0.1751,1,5,0.7051,4,0.2734
nine,IRV,9,0.6488,0.1320,0.0330,1,6,0.1016,5,0.1250
nine,PsychSyn,9,0.6558,0.1074,0.1486,1,7,0.0195,7,0.0273
nine,LongString,9,0.5814,0.0971,0.2869,0,8,0.0039,8,0.0488
nine,Mahalanobis,9,0.4872,0.0164,0.1312,0,9,0.0020,9,0.0020
seven,ens,7,0.6854,0.1850,0.1344,0,NaN,NaN,NaN,NaN
seven,rc,7,0.5989,0.0720,0.0369,3,7,0.0078,5,0.0547
seven,PT,7,0.7070,0.1673,0.1623,1,3,0.8828,2,0.5000
seven,IRV,7,0.6376,0.1236,0.0378,1,4,0.2891,3,0.2891
seven,PsychSyn,7,0.6307,0.0970,0.1333,1,5,0.0781,5,0.0781
seven,LongString,7,0.5757,0.1039,0.2603,0,6,0.0156,6,0.1094
seven,Mahalanobis,7,0.4774,-0.0029,0.1437,0,7,0.0078,7,0.0078
