"dataset","n","J","rate","AUC_ens","AUC_rc","AUC_PT","MCC_ens","MCC_rc","MCC_PT"
"warning300",812,301,0.261083743842365,0.732806603773585,0.618238993710692,0.734127358490566,0.32078503442628,0.192210830661582,0.345913282267383
"smarvus",4000,141,0.09975,0.83278941591691,0.815929019995142,0.833943717945238,0.434605590880444,0.430483568479368,0.42293061820072
"opsy_16pf",4000,163,0.00775,0.682056096034591,0.702313900470583,0.683949804533522,0.144753585962639,0.173862684609093,0.0856562306931965
"douglas",2071,50,0.801062288749396,0.507120618924724,0.489021342837246,0.541894169490335,0.0540435480863882,0.0528109958331795,0.0716694055863792
"duckworth",3874,50,0.260454310789881,0.464167864438206,0.499899854191854,0.425198518741449,0.00537958019598715,0.0318583992302104,0.0175474734145523
"krause",1783,49,0.447560291643298,0.74879711970281,0.556617431904635,0.748695342416956,0.4210068375436,0.158832777940944,0.415869070527739
"alvarez19",1887,6,0.0874403815580286,0.723429416112343,0.620052440784148,0.698965262379897,0.324946150448206,0.140221341538127,0.282690368055181
"ivanov21",869,41,0.20253164556962,0.771017807949626,0.689873573396301,0.812663977436705,0.401561826676282,0.291275835181585,0.450969884945115
"mastroianni22",1004,100,0.0288844621513944,0.531989389920424,0.359257294429708,0.736480990274094,0.0466387439460317,0.011943476269715,0.181898555500762
"moss23",2107,8,0.10109159943047,0.564754772917689,0.29090753602927,0.796281561243561,0.15818793326201,-0.012663028199274,0.464323443469273
"ogrady19",358,30,0.058659217877095,0.676981771937262,0.636710470538364,0.642927794263106,0.193321598946336,0.138716093373,0.212017248965448
"pennycook20",853,30,0.271981242672919,0.593991198845022,0.597794852573713,0.59635112999056,0.148768034656563,0.160018102902193,0.171440199083241
