"dataset","kind","n","J","rate","AUC_ens","AUC_rc","AUC_PT","MCC_ens","MCC_rc","MCC_PT"
"kay_s2","core",701,363,0.0499286733238231,0.91992706992707,0.913899613899614,0.893286143286143,0.522272852067559,0.493353747380383,0.409548081493088
"warning300","core",812,301,0.261083743842365,0.730290880503145,0.617444968553459,0.734127358490566,0.318886497245551,0.197009529877661,0.345913282267383
"kay_s1","core",500,250,0.288,0.55623829588015,0.535590277777778,0.628121098626717,0.161362455933829,0.185813939486101,0.216371697838117
"opsy_16pf","core",35381,163,0.00748989570673525,0.644765058985099,0.630967714550374,0.640214480524923,0.092057685278763,0.0855027883641417,0.0796997910748697
"smarvus","core",10234,141,0.104651162790698,0.825656363895189,0.782832664514749,0.824153139738197,0.42968956782006,0.419262233379115,0.426907528672198
"kay_s6","core",562,67,0.368327402135231,0.688058787507655,0.573314281826223,0.758181941892903,0.333835114385316,0.205100544463462,0.451258594188936
"kay_s5","core",629,62,0.0874403815580286,0.739847956921128,0.628888184985746,0.713937282229965,0.277288359935864,0.148780017275453,0.287245304123448
"duckworth","core",3874,50,0.260454310789881,0.464163886280024,0.499265597406933,0.425198518741449,-0.00346621103633902,0.0309396895290282,0.0175474734145523
"douglas","core",2071,50,0.801062288749396,0.507094284192723,0.489684831779584,0.541894169490335,0.0596237955508795,0.0572324939544349,0.0716694055863792
"krause","core",1783,49,0.447560291643298,0.750837754284188,0.563951121458468,0.748695342416956,0.419957958725341,0.169244551847377,0.415869070527739
"ivanov21","bound",869,41,0.20253164556962,0.765110520792339,0.68576183917093,0.812663977436705,0.378950715086755,0.304554678160529,0.450969884945115
"moss23","bound",2107,8,0.10109159943047,0.650863116042258,0.312113617998027,0.796281561243561,0.23065166955057,-0.012663028199274,0.464323443469273
"alvarez19","bound",1887,6,0.0874403815580286,0.743705346144371,0.624578537993172,0.698965262379897,0.323630538691941,0.14194963545981,0.282690368055181
"ogrady19","bound",358,30,0.058659217877095,0.657199378267628,0.597428288822948,0.642927794263106,0.184154515996619,0.149281624367085,0.212017248965448
"mastroianni22","bound",1004,100,0.0288844621513944,0.53025641025641,0.373793103448276,0.736480990274094,0.0420625594310795,0.0109075367968373,0.181898555500762
"pennycook20","bound",853,30,0.271981242672919,0.586168721194958,0.589743322783053,0.59635112999056,0.151851173485545,0.161841285890274,0.171440199083241
