true,pi_mean,pi_p5,pi_p95,gate_on,flag_mean,flag_p5,flag_p95
0.0541,0.0524,0.0000,0.2130,0.743,0.0487,0.0135,0.1081
0.0789,0.0737,0.0000,0.2180,0.857,0.0682,0.0263,0.1316
0.1026,0.0889,0.0000,0.2381,0.950,0.0874,0.0385,0.1538
0.1250,0.1175,0.0046,0.2571,0.990,0.1055,0.0500,0.1750
0.1463,0.1353,0.0144,0.2608,0.997,0.1208,0.0732,0.1951
0.1765,0.1817,0.0631,0.3008,1.000,0.1535,0.0941,0.2235
0.2045,0.2085,0.1086,0.3112,1.000,0.1791,0.1136,0.2386
0.2308,0.2377,0.1380,0.3339,1.000,0.2045,0.1429,0.2637
0.2553,0.2595,0.1781,0.3425,1.000,0.2218,0.1596,0.2766
0.2857,0.2888,0.2117,0.3572,1.000,0.2494,0.1837,0.2959
0.3204,0.3122,0.2499,0.3769,1.000,0.2692,0.2039,0.3204
0.3636,0.3425,0.2869,0.3949,1.000,0.2971,0.2455,0.3545
0.4017,0.3782,0.3295,0.4311,1.000,0.3205,0.2564,0.3761
0.4531,0.4130,0.3686,0.4521,1.000,0.3406,0.2734,0.4063
