dataset,criterion,n,rate,F1:pair-consistency,F2:normativity,F3:outlier/variance,F4:split-half
Study1_induced,induced,157,0.554140127388535,0.6240127554848597,0.739088963678035,-0.26408151953912956,0.21488431996760002
Kay_S1,infrequency,500,0.19,0.23596149622674506,0.46053199140070583,0.01174421038775432,0.11936709475313001
Kay_S2,infrequency,701,0.1398002853067047,0.2299538840706693,0.3871933901957247,0.03126494640211186,-0.05635008545296104
Kay_S5,infrequency,629,0.4260731319554849,0.09849826675257568,0.1426923479703411,0.11349521658889272,0.012553527076680959
warning_IPIP300,infrequency,812,0.43842364532019706,0.3067545328491988,0.4869255704717166,-0.30943338055244846,0.07222300467931327
warning_IPIP300,speeding_RT,812,,0.19853642146446962,0.4456789115506153,-0.22328447118708533,0.05359507386521464
krause,attention_check,1783,0.2680874929893438,-0.01167229783810958,0.5088162490470179,-0.09537091405342643,-0.04112486306796965
douglas,attention_check,2071,0.09319169483341382,0.11765124288030736,0.20553265939065077,-0.12653912664675762,0.01658664147724543
douglas,speeding_RT,2071,0.15016900048285853,0.11061945388293955,-0.008518927857891517,-0.042560726360087,0.0808891191347247
duckworth,overclaiming,3874,0.07201858544140423,-0.051552827617992486,-0.04336001773528309,0.055671553859158396,-0.0428359136157157
duckworth,speeding_RT,3874,,-0.15721976650046735,-0.08211213609276895,-0.014929286851378298,-0.021226753684436873
