dataset,rc,synonyms,antonyms,even_odd,rpr,person_total,d2,longstring,irv,response_time
Study1_induced,0.38223,-0.05898,0.07268,-0.34254,-0.06975,0.07180,2.52779,1.34898,-0.69110,NA
Study1_induced,0.91414,-0.07993,-0.24230,0.28980,0.10877,1.13781,-0.78427,1.34898,-1.25615,NA
Study1_induced,1.31539,-0.04690,-0.38940,0.44401,0.48916,0.49417,0.70051,-0.67449,0.11187,NA
Study1_induced,0.42533,-0.12255,0.07069,0.02588,-0.13454,0.43796,0.69985,-0.67449,0.20869,NA
Study1_induced,1.15331,-0.12734,-0.36480,0.13118,0.03184,1.30736,0.31649,-0.67449,0.04918,NA
Study1_induced,0.55867,-0.14031,-0.33668,-0.23015,0.09544,-0.72301,-0.30259,-1.34898,0.04139,NA
Study1_induced,-0.17376,-0.25265,-0.84734,-0.31891,0.00894,-0.44217,0.24477,-0.67449,0.37616,NA
Study1_induced,0.17573,-0.06132,0.12186,-0.83786,-0.73571,0.55445,0.06288,0.00000,-0.10882,NA
Study1_induced,1.04584,-0.07074,-0.40644,-0.03296,-0.09058,-0.43776,-0.00904,-0.67449,0.08540,NA
Study1_induced,-0.19661,-0.49884,-0.68022,-0.81762,-0.48682,-0.11054,-0.94840,-0.67449,-1.22526,NA
Study1_induced,-0.54084,-0.28244,-0.39851,-0.12699,-0.06766,-1.26386,-0.12000,0.00000,0.52082,NA
Study1_induced,0.09190,-0.19250,-0.37387,-0.41850,-0.32025,-0.52860,0.20298,-1.34898,0.16229,NA
Study1_induced,0.91010,-0.12744,0.04262,-0.07258,-0.38334,0.68776,-0.73030,0.00000,-1.09683,NA
Study1_induced,0.76422,-0.06786,-0.35433,0.48472,0.13991,-0.21285,0.96539,2.69796,-0.03784,NA
Study1_induced,1.33186,-0.12430,0.08621,0.27319,0.12617,0.88256,-0.60197,-0.67449,-1.08008,NA
Study1_induced,-0.15028,-0.09560,0.08396,-0.02962,0.03839,-0.39173,-0.59911,-1.34898,-0.72271,NA
Study1_induced,0.70365,-0.39148,-0.61710,-0.85789,-0.89720,0.50924,-2.08146,50.58681,-3.50342,NA
Study1_induced,-1.03987,-0.51261,0.11166,-0.97207,-0.87939,1.10513,3.71253,50.58681,-0.60007,NA
Study1_induced,0.66053,-0.16020,-0.26830,-0.65643,-0.22935,1.04389,2.46991,-1.34898,1.61128,NA
Study1_induced,-0.24204,-0.19427,-0.56822,0.52824,0.63498,-0.53530,-0.59315,-1.34898,-0.11132,NA
Study1_induced,-0.70243,-0.63084,-0.75099,-0.68856,-0.63623,0.93327,0.24213,-1.34898,-0.14624,NA
Study1_induced,-0.77040,-0.70397,-0.71545,-0.86810,-0.66336,-0.77899,-0.04727,-0.67449,0.31171,NA
Study1_induced,-0.50722,-0.52491,-0.19324,-0.83192,-0.77960,0.37219,3.49931,50.58681,-3.44148,NA
Study1_induced,1.12923,0.00218,-0.20625,0.06219,0.39918,0.97324,-0.06227,-1.34898,-0.73257,NA
Study1_induced,2.42887,-0.57999,-0.59290,-0.07223,-0.27331,1.47796,5.97731,70.14704,-4.99277,NA
Study1_induced,0.68565,-0.53426,-0.55648,-0.58396,-0.60047,0.27746,4.21927,50.58681,-4.08611,NA
Study1_induced,1.34380,-0.08682,0.02208,0.44191,0.30582,1.30155,1.64520,-0.67449,0.80249,NA
Study1_induced,-0.46658,-0.39185,-0.38857,-0.72790,-0.50915,-0.46196,-0.33307,-1.34898,-0.07863,NA
Study1_induced,1.29959,-0.04396,0.03536,-0.55589,-0.11066,0.05074,-1.09576,1.34898,-1.30298,NA
Study1_induced,-0.50902,-0.56098,-0.89156,-0.59804,-0.53075,-1.11024,-0.02189,-0.67449,0.45963,NA
Study1_induced,-0.75129,-0.36221,0.18166,-0.92759,-0.89641,0.64055,1.68850,10.11736,0.45415,NA
Study1_induced,-0.68669,-0.36316,-0.72864,-0.27143,-0.26082,-0.27953,-0.97439,0.00000,-0.81224,NA
Study1_induced,-0.79355,-0.44158,-0.36853,-0.65225,-0.77190,0.08055,1.44519,0.00000,1.12313,NA
Study1_induced,-0.07041,-0.19590,-0.47145,0.52032,0.41384,-0.57377,0.90495,-1.34898,0.87749,NA
Study1_induced,-0.52900,-0.55405,-0.73690,-0.85159,-0.75622,0.07393,-0.32771,-0.67449,-0.10770,NA
Study1_induced,1.48935,-0.14278,-0.12113,-0.19100,-0.31570,0.99340,-0.49276,-0.67449,-1.59312,NA
Study1_induced,-0.53641,-0.06133,-0.76688,0.13682,0.25676,-0.59867,-1.11546,-0.67449,-1.00724,NA
Study1_induced,-0.67849,-0.66336,-0.58589,-0.80682,-0.58533,-0.92033,-0.67449,0.00000,-0.15813,NA
Study1_induced,-0.80757,-0.37765,-0.39529,-0.68383,-0.69573,-0.56520,-0.01971,0.67449,0.17131,NA
Study1_induced,-0.92466,-0.63688,-0.27129,-0.70460,-0.55790,0.74744,1.62038,-0.67449,0.81885,NA
Study1_induced,-0.00924,-0.13687,-0.50108,-0.29907,-0.24534,-0.58730,-0.65687,0.00000,-0.11502,NA
Study1_induced,-0.38662,-0.17431,-0.22903,-0.62351,-0.50526,0.68246,-1.17421,12.14083,-1.71561,NA
Study1_induced,1.19606,-0.13298,-0.33327,0.60550,0.45321,1.18062,-0.69590,-0.67449,-1.31747,NA
Study1_induced,1.44811,-0.07366,0.24038,-0.03845,-0.25173,0.96074,0.18952,0.67449,-0.39249,NA
Study1_induced,-0.65051,-0.54611,-0.71139,-0.84274,-0.68606,-0.01415,-0.27252,0.00000,-0.13000,NA
Study1_induced,0.47199,-0.15408,0.13017,-0.04684,-0.01699,0.21044,0.57433,0.00000,0.33368,NA
Study1_induced,-1.12963,-0.41772,0.06024,-0.32275,-0.31863,-1.12754,-0.27920,-0.67449,0.22180,NA
Study1_induced,0.10574,-0.15543,-0.51820,-0.01274,-0.00436,-0.31834,0.06397,0.00000,0.04396,NA
Study1_induced,-0.22180,-0.18590,-0.01769,0.02786,-0.12390,-0.52052,-0.06796,-0.67449,0.37632,NA
Study1_induced,1.53183,-0.09623,-0.30258,0.39763,0.17675,1.60306,0.86985,0.00000,0.21654,NA
Study1_induced,1.09241,-0.09856,-0.04391,0.34858,0.12404,1.02553,-0.15352,3.37245,-0.61267,NA
Study1_induced,-0.82320,-0.29219,-0.56503,0.23278,-0.12437,-0.27429,0.31118,0.00000,0.23888,NA
Study1_induced,-0.50803,-0.40963,-0.41041,0.10322,-0.01982,-1.30137,-0.08260,0.00000,0.44563,NA
Study1_induced,-0.33085,-0.35124,-0.58782,-0.60789,-0.33151,-0.73954,0.90441,-1.34898,0.72588,NA
Study1_induced,0.94464,-0.05155,-0.05382,-0.22043,-0.38313,0.50998,-0.93668,2.02347,-1.05325,NA
Study1_induced,0.74627,-0.16245,-0.59454,0.67532,0.45298,0.71177,3.21361,3.37245,0.44430,NA
Study1_induced,0.33830,-0.01968,0.00165,-0.44907,-0.40438,-0.46754,-1.56812,0.67449,-1.66944,NA
Study1_induced,1.16318,-0.16971,-0.27223,0.55957,0.43017,1.85446,1.06109,-1.34898,0.44382,NA
Study1_induced,0.70365,-0.39148,-0.61710,-0.85789,-0.90689,0.50924,-2.08146,50.58681,-3.50342,NA
Study1_induced,1.36233,-0.04740,0.30701,0.07843,0.29926,0.79516,-1.43196,0.67449,-2.10118,NA
Study1_induced,-0.20338,-0.30459,-0.55818,-0.61338,-0.42900,0.00000,0.14418,-0.67449,0.03151,NA
Study1_induced,-0.57156,-0.25749,-0.37205,-0.61948,-0.61848,-0.75935,0.09077,1.34898,0.49564,NA
Study1_induced,0.53934,-0.16731,-0.08593,-0.14431,-0.33525,0.36540,1.63118,0.00000,0.10150,NA
Study1_induced,0.68565,-0.53426,-0.55648,-0.58396,-0.55479,0.27746,4.21927,50.58681,-4.08611,NA
Study1_induced,0.03186,-0.21616,-0.40555,-0.34757,-0.23688,-0.22142,-0.15126,1.34898,-0.12891,NA
Study1_induced,-0.87109,-0.26732,-0.28709,-0.51588,-0.44427,-0.72253,-0.25439,0.00000,-0.10942,NA
Study1_induced,0.89792,-0.11463,-0.16962,0.32547,0.31022,0.90857,3.47322,4.72144,-1.12143,NA
Study1_induced,-0.79208,-0.28627,-0.00872,-0.33540,-0.58971,-1.19744,0.60274,-0.67449,0.95726,NA
Study1_induced,0.79673,-0.01333,-0.23653,-0.13276,-0.34929,-0.22427,-0.17230,0.67449,0.00093,NA
