,rc,synonyms,antonyms,even_odd,rpr,person_total,d2,longstring,irv,response_time
rc,1.0,0.5625537929766883,0.41806137797672727,0.20468372834954227,0.23918993926538076,0.20022212383263643,-0.12110602587411373,-0.01764693784706645,-0.2724813336261422,-0.023621643426649436
synonyms,0.5625537929766883,1.0,0.6060031690514099,0.34742506896466885,0.41312573084273563,-0.033317025456359846,-0.2648730889876483,-0.17064919926385985,-0.2325216169595295,-0.059839467994340555
antonyms,0.41806137797672727,0.6060031690514099,1.0,0.21373209631881265,0.2582483584504053,0.026126077708572087,-0.17425232416869435,-0.020448798550037135,-0.20198816828663332,-0.05227602184740459
even_odd,0.20468372834954227,0.34742506896466885,0.21373209631881265,1.0,0.7270735755199087,-0.05723139743922377,-0.1596182654242708,-0.13533820891601556,-0.03849693146094871,-0.019146159244964177
rpr,0.23918993926538076,0.41312573084273563,0.2582483584504053,0.7270735755199087,1.0,-0.058084179815700965,-0.1899348783320891,-0.14271224248405362,-0.061965234428738684,-0.005988904161452521
person_total,0.20022212383263643,-0.033317025456359846,0.026126077708572087,-0.05723139743922377,-0.058084179815700965,1.0,0.31359607158590386,0.10877705819869428,-0.236037289746991,0.12644642912116644
d2,-0.12110602587411373,-0.2648730889876483,-0.17425232416869435,-0.1596182654242708,-0.1899348783320891,0.31359607158590386,1.0,-0.009840839033526392,0.7455496251118209,-0.06366421864734027
longstring,-0.01764693784706645,-0.17064919926385985,-0.020448798550037135,-0.13533820891601556,-0.14271224248405362,0.10877705819869428,-0.009840839033526392,1.0,-0.1382530823560438,0.0839801860538969
irv,-0.2724813336261422,-0.2325216169595295,-0.20198816828663332,-0.03849693146094871,-0.061965234428738684,-0.236037289746991,0.7455496251118209,-0.1382530823560438,1.0,-0.1131459175611157
response_time,-0.023621643426649436,-0.059839467994340555,-0.05227602184740459,-0.019146159244964177,-0.005988904161452521,0.12644642912116644,-0.06366421864734027,0.0839801860538969,-0.1131459175611157,1.0
