dataset,target,true_prev,pi_mean,pi_sd,flag_mean,n,piraw_mean,estimable_frac
TISP Germany,0.01,0.0100,0.2529,0.1191,0.1581,1400,0.2529,1.00
TISP Germany,0.03,0.0300,0.2810,0.1015,0.1817,1400,0.2810,1.00
TISP Germany,0.05,0.0500,0.2682,0.1114,0.1772,1400,0.2682,1.00
TISP Germany,0.08,0.0800,0.2837,0.0943,0.1822,1400,0.2837,1.00
TISP Germany,0.12,0.1200,0.2864,0.0663,0.1829,1400,0.2864,1.00
TISP Germany,0.16,0.1600,0.3609,0.0528,0.2415,1400,0.3609,1.00
TISP Germany,0.20,0.2000,0.3122,0.0512,0.2120,1400,0.3122,1.00
TISP Germany,0.25,0.2500,0.3169,0.0726,0.2139,1400,0.3169,1.00
TISP Germany,0.30,0.3000,0.3412,0.0599,0.2284,1400,0.3412,1.00
TISP Germany,0.35,0.3500,0.3810,0.0575,0.2626,1400,0.3810,1.00
TISP Germany,0.40,0.4000,0.3978,0.0559,0.2702,1400,0.3978,1.00
TISP Poland,0.01,0.0100,0.1296,0.0903,0.0699,1400,0.1289,1.00
TISP Poland,0.03,0.0300,0.1811,0.0930,0.0958,1400,0.1811,1.00
TISP Poland,0.05,0.0500,0.1365,0.0754,0.0747,1400,0.1346,1.00
TISP Poland,0.08,0.0800,0.2175,0.0748,0.1151,1400,0.2175,1.00
TISP Poland,0.12,0.1200,0.1809,0.0284,0.0953,1400,0.1809,1.00
TISP Poland,0.16,0.1600,0.1950,0.0778,0.1086,1400,0.1950,1.00
TISP Poland,0.20,0.2000,0.2281,0.0600,0.1254,1400,0.2281,1.00
TISP Poland,0.25,0.2500,0.2350,0.0333,0.1204,1400,0.2350,1.00
TISP Poland,0.30,0.3000,0.2773,0.0514,0.1509,1400,0.2773,1.00
TISP Poland,0.35,0.3500,0.2787,0.0472,0.1442,1400,0.2787,1.00
TISP Poland,0.40,0.4000,0.2965,0.0650,0.1464,1400,0.2965,1.00
TISP Australia,0.01,0.0100,0.0000,0.0000,0.0143,1400,-0.0332,0.00
TISP Australia,0.03,0.0300,0.0000,0.0000,0.0089,1400,-0.0292,0.00
TISP Australia,0.05,0.0500,0.0000,0.0000,0.0067,1400,-0.0196,0.00
TISP Australia,0.08,0.0800,0.0009,0.0028,0.0259,1400,-0.0600,0.10
TISP Australia,0.12,0.1200,0.0006,0.0018,0.0291,1400,-0.0515,0.10
TISP Australia,0.16,0.1600,0.0000,0.0000,0.0255,1400,-0.0571,0.20
TISP Australia,0.20,0.2000,0.0000,0.0000,0.0281,1400,-0.0723,0.20
TISP Australia,0.25,0.2500,0.0003,0.0010,0.0341,1400,-0.0515,0.20
