"dataset","J","additive","two_way","full","rc_x_pt"
"warning300",301,0.726360062893082,0.651194968553459,0.643384433962264,0.698089622641509
"smarvus",141,0.832112912105312,0.84406621942248,0.842030096067717,0.847215929298392
"opsy_16pf",163,0.681231154349434,0.709246661627614,0.648794284738985,0.70869399133608
"douglas",50,0.503620294129696,0.498242156638986,0.497177794553977,0.498583776634655
"duckworth",50,0.468992332532513,0.469217530878291,0.469349674915291,0.46816885378885
"krause",49,0.741966591605918,0.74170705952699,0.745873567166648,0.736015164815592
"alvarez19",6,0.72219758561222,0.706732833562102,0.706760989687819,0.707904832295076
"ivanov21",41,0.761511216056671,0.774522825659189,0.772743670470943,0.781467270103634
"mastroianni22",100,0.495455349248453,0.433916887709991,0.433633952254642,0.434164456233422
"moss23",8,0.500192106528647,0.365328365830322,0.3676212502045,0.366426471536009
"ogrady19",30,0.675003532570298,0.71986717535679,0.719937826762753,0.707503179313268
"pennycook20",30,0.593227691709701,0.553289327558443,0.555524321172747,0.581969431950691
