study,J,true_rate,reps,mcc_cur,mcc_os,prec_cur,prec_os,rec_cur,rec_os
Study1,109,0.0541,40,0.6202,0.7043,0.7450,0.8808,0.5375,0.6438
Study1,109,0.1026,40,0.7658,0.7826,0.9152,0.8831,0.6813,0.7625
Study1,109,0.1463,40,0.7879,0.8128,0.9720,0.9095,0.6917,0.7896
Study1,109,0.2045,40,0.7729,0.8133,0.9543,0.9095,0.7028,0.8000
Study1,109,0.2553,40,0.6702,0.8279,0.9806,0.9131,0.5594,0.8333
Study1,109,0.3204,40,0.4426,0.8269,0.9947,0.9243,0.2833,0.8394
Study1,109,0.4017,40,0.3614,0.8302,1.0000,0.9511,0.2021,0.8394
Study1,109,0.4531,40,0.3274,0.8227,1.0000,0.9666,0.1815,0.8280
Study1full,109,0.5541,1,0.2915,0.8630,1.0000,0.9750,0.1724,0.8966
Study3,60,0.0500,10,0.5150,0.6100,0.7358,0.7351,0.3800,0.6300
Study3,60,0.1000,10,0.4908,0.6148,0.7909,0.9477,0.3300,0.4550
Study3,60,0.2000,10,0.5110,0.6687,1.0000,0.9332,0.3087,0.5700
Study3,60,0.3000,10,0.4539,0.6698,0.9950,0.9689,0.2800,0.5733
Study3,60,0.4000,10,0.3593,0.4633,1.0000,0.9962,0.1988,0.3225
Study3,60,0.4500,10,0.3283,0.4511,1.0000,0.9937,0.1806,0.3344
Study3,180,0.0500,10,0.7354,0.9142,0.7587,0.9929,0.7200,0.8500
Study3,180,0.1000,10,0.6519,0.8735,0.6823,0.9353,0.6325,0.8475
Study3,180,0.2000,10,0.7113,0.9106,0.7905,0.9487,0.6700,0.9100
Study3,180,0.3000,10,0.6192,0.9179,0.9966,0.9833,0.4883,0.9008
Study3,180,0.4000,10,0.4093,0.8995,1.0000,0.9867,0.2519,0.8894
Study3,180,0.4500,10,0.4039,0.8321,1.0000,0.9933,0.2622,0.8067
clean,60,0,25,,,,,,
clean,180,0,25,,,,,,
