dataset,group,n,J,gt_rate,mcc_cur,mcc_os,prec_cur,prec_os,rec_cur,rec_os,flag_cur,flag_os
Kay S2,core,701,363,0.0499,0.5092,0.3254,0.3803,0.1641,0.7714,0.9143,0.1013,0.2782
warning IPIP,core,812,301,0.2611,0.0000,0.1771,0.0000,0.7273,0.0000,0.0755,0.0000,0.0271
Kay S1,core,500,250,0.2880,0.1281,0.1225,0.4681,0.4355,0.1528,0.1875,0.0940,0.1240
opsy 16PF,core,4000,163,0.0085,0.1350,0.1023,0.0826,0.0490,0.2647,0.2941,0.0272,0.0510
smarvus,core,4000,141,0.1070,0.3134,0.4005,0.5115,0.3477,0.2593,0.6799,0.0542,0.2092
Kay S6,core,562,67,0.3683,0.0000,-0.0574,0.0000,0.2400,0.0000,0.0290,0.0000,0.0445
Kay S5,core,629,62,0.0874,0.0401,0.2215,0.1500,0.2264,0.0545,0.4364,0.0318,0.1685
Duckworth VCL,core,3874,50,0.2605,0.0000,-0.0509,0.0000,0.1873,0.0000,0.0614,0.0000,0.0854
Douglas 2023,core,2071,50,0.8011,0.0401,0.0311,0.8906,0.8208,0.0344,0.2899,0.0309,0.2830
Krause youth,core,1783,49,0.4476,0.3894,0.4043,0.9596,0.9113,0.2682,0.3221,0.1251,0.1582
Mastroianni,bound,1004,100,0.0289,0.0293,0.0321,0.0377,0.0379,0.3103,0.3448,0.2380,0.2629
Ivanov 2021,bound,869,41,0.2025,0.0000,0.2345,0.0000,0.5397,0.0000,0.1932,0.0000,0.0725
O'Grady 2019,bound,358,30,0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pennycook 2020,bound,853,30,0.2720,0.0000,0.1326,0.0000,0.3009,0.0000,0.8922,0.0000,0.8066
Moss 2023,bound,2107,8,0.1011,0.0000,0.1632,0.0000,0.4419,0.0000,0.0892,0.0000,0.0204
Alvarez 2019,bound,1887,6,0.0874,0.1358,0.1338,0.1168,0.1166,0.8424,0.8364,0.6306,0.6275
