items,true_rate,auc_rc,sd_rc,auc_ens,sd_ens,auc_ls,auc_pt
120,0.05,0.9234,0.0342,0.9925,0.0095,0.7462,0.9800
120,0.1,0.9052,0.0261,0.9884,0.0094,0.7444,0.9698
120,0.2,0.8451,0.0196,0.9914,0.0040,0.7553,0.9693
120,0.3,0.8062,0.0105,0.9892,0.0054,0.7559,0.9703
120,0.4,0.8056,0.0100,0.9883,0.0051,0.7462,0.9728
120,0.5,0.8102,0.0129,0.9896,0.0042,0.7592,0.9687
120,0.6,0.8058,0.0123,0.9848,0.0055,0.7528,0.9685
120,0.7,0.8192,0.0198,0.9778,0.0119,0.7526,0.9726
120,0.8,0.7980,0.0139,0.8470,0.0185,0.7574,0.9672
120,0.9,0.7543,0.0273,0.7769,0.0234,0.7569,0.9650
60,0.05,0.8015,0.0362,0.9754,0.0093,0.7173,0.9311
60,0.1,0.8281,0.0385,0.9674,0.0140,0.7735,0.9118
60,0.2,0.7597,0.0296,0.9641,0.0093,0.7689,0.9261
60,0.3,0.7254,0.0309,0.9537,0.0129,0.7644,0.9275
60,0.4,0.7253,0.0203,0.9561,0.0080,0.7535,0.9255
60,0.5,0.7191,0.0160,0.9476,0.0159,0.7492,0.9234
60,0.6,0.7220,0.0148,0.9345,0.0215,0.7669,0.9107
60,0.7,0.7126,0.0296,0.8741,0.0431,0.7679,0.9152
60,0.8,0.7128,0.0259,0.8114,0.0482,0.7686,0.9231
60,0.9,0.6546,0.0448,0.7041,0.0509,0.7852,0.9168
