true_rate,N,n_careful,n_careless,auc_rc,sd_rc,auc_ens,sd_ens,auc_ls,auc_pt
0.054,74,70,4,0.8590,0.0995,0.9764,0.0357,0.8245,0.9056
0.103,78,70,8,0.8346,0.0965,0.9730,0.0335,0.8791,0.9120
0.205,88,70,18,0.8630,0.0568,0.9824,0.0159,0.8684,0.9138
0.300,100,70,30,0.8563,0.0383,0.9818,0.0110,0.8527,0.9064
0.402,117,70,47,0.8448,0.0316,0.9788,0.0105,0.8583,0.9020
0.500,140,70,70,0.8589,0.0211,0.9837,0.0044,0.8571,0.9016
0.600,145,58,87,0.8656,0.0139,0.9855,0.0027,0.8603,0.8891
0.702,124,37,87,0.8468,0.0209,0.9770,0.0064,0.8544,0.8800
0.798,109,22,87,0.8251,0.0313,0.9568,0.0112,0.8597,0.8465
0.897,97,10,87,0.7526,0.0703,0.9023,0.0406,0.8656,0.8166
