study,true_rate,q,purity_top,n_top,mu1_true,tailmean
Study1,0.0541,0.05,0.750,4,16.714,17.146
Study1,0.0541,0.1,0.429,7,16.714,12.120
Study1,0.0541,0.2,0.267,15,16.714,7.650
Study1,0.1026,0.05,1.000,4,16.109,24.452
Study1,0.1026,0.1,0.875,8,16.109,16.134
Study1,0.1026,0.2,0.500,16,16.109,10.380
Study1,0.1463,0.05,1.000,4,10.251,16.199
Study1,0.1463,0.1,1.000,8,10.251,13.214
Study1,0.1463,0.2,0.688,16,10.251,8.752
Study1,0.2045,0.05,1.000,4,14.049,37.718
Study1,0.2045,0.1,1.000,9,14.049,23.141
Study1,0.2045,0.2,0.889,18,14.049,14.329
Study1,0.2553,0.05,1.000,5,11.784,27.113
Study1,0.2553,0.1,1.000,9,11.784,20.373
Study1,0.2553,0.2,0.947,19,11.784,14.188
Study1,0.3204,0.05,1.000,5,10.704,40.399
Study1,0.3204,0.1,1.000,10,10.704,24.694
Study1,0.3204,0.2,1.000,21,10.704,15.000
Study1,0.4017,0.05,1.000,6,13.427,66.767
Study1,0.4017,0.1,1.000,12,13.427,39.822
Study1,0.4017,0.2,1.000,23,13.427,24.460
Study1,0.4531,0.05,1.000,6,15.693,74.166
Study1,0.4531,0.1,1.000,13,15.693,54.125
Study1,0.4531,0.2,1.000,26,15.693,31.340
Study3_J60,0.0500,0.05,0.700,20,8.920,9.624
Study3_J60,0.0500,0.1,0.450,40,8.920,7.183
Study3_J60,0.0500,0.2,0.225,80,8.920,5.139
Study3_J60,0.1000,0.05,1.000,20,9.481,13.380
Study3_J60,0.1000,0.1,0.800,40,9.481,9.893
Study3_J60,0.1000,0.2,0.475,80,9.481,6.792
Study3_J60,0.1500,0.05,1.000,20,8.476,14.889
Study3_J60,0.1500,0.1,0.950,40,8.476,10.947
Study3_J60,0.1500,0.2,0.662,80,8.476,7.765
Study3_J60,0.2000,0.05,1.000,20,9.421,22.474
Study3_J60,0.2000,0.1,1.000,40,9.421,15.123
Study3_J60,0.2000,0.2,0.850,80,9.421,9.791
Study3_J60,0.2500,0.05,1.000,20,7.892,22.182
Study3_J60,0.2500,0.1,1.000,40,7.892,14.946
Study3_J60,0.2500,0.2,0.875,80,7.892,9.739
Study3_J60,0.3000,0.05,1.000,20,7.418,22.743
Study3_J60,0.3000,0.1,1.000,40,7.418,15.151
Study3_J60,0.3000,0.2,0.938,80,7.418,10.167
Study3_J60,0.3500,0.05,1.000,20,6.954,21.911
Study3_J60,0.3500,0.1,1.000,40,6.954,15.008
Study3_J60,0.3500,0.2,1.000,80,6.954,10.181
Study3_J60,0.4000,0.05,1.000,20,5.646,21.627
Study3_J60,0.4000,0.1,1.000,40,5.646,15.126
Study3_J60,0.4000,0.2,1.000,80,5.646,9.885
Study3_J60,0.4500,0.05,1.000,20,6.619,26.992
Study3_J60,0.4500,0.1,1.000,40,6.619,18.670
Study3_J60,0.4500,0.2,1.000,80,6.619,12.190
Study3_J180,0.0500,0.05,1.000,20,17.181,17.181
Study3_J180,0.0500,0.1,0.500,40,17.181,11.103
Study3_J180,0.0500,0.2,0.250,80,17.181,7.192
Study3_J180,0.1000,0.05,1.000,20,16.040,22.657
Study3_J180,0.1000,0.1,0.925,40,16.040,16.144
Study3_J180,0.1000,0.2,0.500,80,16.040,10.380
Study3_J180,0.1500,0.05,1.000,20,16.602,30.920
Study3_J180,0.1500,0.1,1.000,40,16.602,21.131
Study3_J180,0.1500,0.2,0.738,80,16.602,13.487
Study3_J180,0.2000,0.05,1.000,20,16.977,39.076
Study3_J180,0.2000,0.1,1.000,40,16.977,26.155
Study3_J180,0.2000,0.2,0.925,80,16.977,17.210
Study3_J180,0.2500,0.05,1.000,20,12.247,30.148
Study3_J180,0.2500,0.1,1.000,40,12.247,21.504
Study3_J180,0.2500,0.2,1.000,80,12.247,14.537
Study3_J180,0.3000,0.05,1.000,20,13.539,38.230
Study3_J180,0.3000,0.1,1.000,40,13.539,25.966
Study3_J180,0.3000,0.2,1.000,80,13.539,17.717
Study3_J180,0.3500,0.05,1.000,20,13.623,53.325
Study3_J180,0.3500,0.1,1.000,40,13.623,33.815
Study3_J180,0.3500,0.2,1.000,80,13.623,20.823
Study3_J180,0.4000,0.05,1.000,20,11.379,49.443
Study3_J180,0.4000,0.1,1.000,40,11.379,31.797
Study3_J180,0.4000,0.2,1.000,80,11.379,19.348
Study3_J180,0.4500,0.05,1.000,20,11.444,56.359
Study3_J180,0.4500,0.1,1.000,40,11.444,36.614
Study3_J180,0.4500,0.2,1.000,80,11.444,21.902
