"dataset","J","n_stems","stems_ge4","example"
"Kay S2",363,1,1,"statement(363)"
"warning IPIP-NEO",301,1,1,"ipip(301)"
"Kay S1",250,1,1,"statement(250)"
"opsy 16PF",163,16,16,"B(13) A(10) C(10) D(10) E(10) F(10)"
"smarvus",141,9,9,"Q8.2(24) Q7.1(23) Q7.2(23) Q8.1(20) Q13.1(16) Q14.1(12)"
"Kay S6",67,14,8,"pid_cal(14) pid_dec(10) pid_att(8) pid_gra(6) pid_man(5) bfi_com(4)"
"Kay S5",62,1,1,"statement(62)"
"Duckworth VCL",50,5,5,"A(10) C(10) E(10) N(10) O(10)"
"Douglas 2023",50,5,5,"a(10) c(10) e(10) n(10) o(10)"
"Krause youth",49,7,6,"technic(17) environment(7) sd(6) worry_topics(6) auth(5) pol_trust(5)"
"Mastroianni 2022",100,54,0,"abortion(2) abortion_health(2) affairs(2) anti_religion(2) asian(2) asian_marry(2)"
"Ivanov 2021",41,5,5,"Q(13) Q86(8) Q109(7) Q85(7) Q112(6)"
"O'Grady 2019",30,1,1,"q(30)"
"Pennycook 2020",30,2,2,"fake(15) real(15)"
"Moss 2023",8,8,0,"characterize(1) fin_situation(1) ideology(1) pay_fairness(1) pay_satisf(1) potential_pay(1)"
"Alvarez 2019",6,1,1,"tolerance(6)"
