condition,rep,rr_auc,ens_auc
normal,0,0.908,0.982
normal,1,0.897,0.973
normal,2,0.899,0.971
normal,3,0.943,0.992
normal,4,0.920,0.983
normal,5,0.882,0.977
normal,6,0.921,0.992
normal,7,0.909,0.979
low_load,0,0.840,0.956
low_load,1,0.779,0.955
low_load,2,0.821,0.967
low_load,3,0.764,0.949
low_load,4,0.818,0.961
low_load,5,0.821,0.967
low_load,6,0.764,0.949
low_load,7,0.818,0.961
bifactor,0,0.950,0.992
bifactor,1,0.958,0.986
bifactor,2,0.920,0.992
bifactor,3,0.950,0.992
bifactor,4,0.958,0.986
bifactor,5,0.920,0.992
bifactor,6,0.950,0.992
bifactor,7,0.958,0.986
