dataset,param,value,auc
study,cor_prop,0.01,0.9849
study,cor_prop,0.02,0.9856
study,cor_prop,0.03,0.9880
study,cor_prop,0.05,0.9826
study,cor_prop,0.07,0.9818
study,cor_prop,0.1,0.9818
study,min_pairs,5,0.9880
study,min_pairs,10,0.9880
study,min_pairs,15,0.9880
study,min_pairs,20,0.9880
study,min_pairs,30,0.9880
study,min_pairs,50,0.9880
study,gate_offset,0,0.9880
study,gate_offset,0.005,0.9880
study,gate_offset,0.01,0.9880
study,gate_offset,0.02,0.9880
study,gate_offset,0.03,0.9880
study,gate_scale,0.02,0.9880
study,gate_scale,0.03,0.9880
study,gate_scale,0.05,0.9880
study,gate_scale,0.07,0.9880
study,gate_scale,0.1,0.9880
smarvus,cor_prop,0.01,0.7932
smarvus,cor_prop,0.02,0.7961
smarvus,cor_prop,0.03,0.7944
smarvus,cor_prop,0.05,0.7957
smarvus,cor_prop,0.07,0.7976
smarvus,cor_prop,0.1,0.7958
smarvus,min_pairs,5,0.7944
smarvus,min_pairs,10,0.7944
smarvus,min_pairs,15,0.7944
smarvus,min_pairs,20,0.7944
smarvus,min_pairs,30,0.7944
smarvus,min_pairs,50,0.7944
smarvus,gate_offset,0,0.7944
smarvus,gate_offset,0.005,0.7944
smarvus,gate_offset,0.01,0.7944
smarvus,gate_offset,0.02,0.7944
smarvus,gate_offset,0.03,0.7944
smarvus,gate_scale,0.02,0.7944
smarvus,gate_scale,0.03,0.7944
smarvus,gate_scale,0.05,0.7944
smarvus,gate_scale,0.07,0.7944
smarvus,gate_scale,0.1,0.7944
warning,cor_prop,0.01,0.7107
warning,cor_prop,0.02,0.7238
warning,cor_prop,0.03,0.7328
warning,cor_prop,0.05,0.7235
warning,cor_prop,0.07,0.7217
warning,cor_prop,0.1,0.7374
warning,min_pairs,5,0.7328
warning,min_pairs,10,0.7328
warning,min_pairs,15,0.7328
warning,min_pairs,20,0.7328
warning,min_pairs,30,0.7328
warning,min_pairs,50,0.7328
warning,gate_offset,0,0.7328
warning,gate_offset,0.005,0.7328
warning,gate_offset,0.01,0.7328
warning,gate_offset,0.02,0.7310
warning,gate_offset,0.03,0.7203
warning,gate_scale,0.02,0.7328
warning,gate_scale,0.03,0.7328
warning,gate_scale,0.05,0.7328
warning,gate_scale,0.07,0.7251
warning,gate_scale,0.1,0.7114
