prevalence,rep,samefactor_frac_top3,rr_auc
0,0,1.000,NA
0,1,1.000,NA
0,2,1.000,NA
0,3,1.000,NA
0,4,1.000,NA
0,5,1.000,NA
0,6,1.000,NA
0,7,1.000,NA
0.1,0,0.992,0.845
0.1,1,0.992,0.908
0.1,2,0.983,0.929
0.1,3,0.992,0.929
0.1,4,0.958,0.885
0.1,5,0.950,0.891
0.1,6,0.992,0.901
0.1,7,1.000,0.933
0.2,0,0.808,0.934
0.2,1,0.850,0.925
0.2,2,0.883,0.922
0.2,3,0.925,0.934
0.2,4,0.792,0.858
0.2,5,0.900,0.947
0.2,6,0.858,0.872
0.2,7,0.908,0.924
0.3,0,0.683,0.957
0.3,1,0.683,0.946
0.3,2,0.733,0.915
0.3,3,0.683,0.927
0.3,4,0.767,0.914
0.3,5,0.733,0.942
0.3,6,0.633,0.884
0.3,7,0.733,0.931
0.4,0,0.575,0.939
0.4,1,0.650,0.883
0.4,2,0.608,0.955
0.4,3,0.600,0.957
0.4,4,0.633,0.912
0.4,5,0.725,0.910
0.4,6,0.650,0.916
0.4,7,0.658,0.944
