true_prev,rep,pi_hat,gate_fired
0.05,0,0.0301,1
0.05,1,0.0000,1
0.05,2,0.1038,1
0.05,3,0.0967,1
0.05,4,0.0000,1
0.05,5,0.0919,1
0.05,6,0.0000,1
0.05,7,0.1728,1
0.05,8,0.0254,1
0.05,9,0.0753,1
0.05,10,0.0000,1
0.05,11,0.0064,1
0.05,12,0.0420,1
0.05,13,0.0000,1
0.05,14,0.0277,1
0.05,15,0.0000,1
0.05,16,0.0000,1
0.05,17,0.1038,1
0.05,18,0.0967,1
0.05,19,0.0000,1
0.1,0,0.1205,1
0.1,1,0.1323,1
0.1,2,0.0206,1
0.1,3,0.1918,1
0.1,4,0.1751,1
0.1,5,0.0064,1
0.1,6,0.0000,1
0.1,7,0.1157,1
0.1,8,0.0396,1
0.1,9,0.0000,1
0.1,10,0.0515,1
0.1,11,0.1775,1
0.1,12,0.0000,1
0.1,13,0.0000,1
0.1,14,0.0325,1
0.1,15,0.0515,1
0.1,16,0.1775,1
0.1,17,0.0000,1
0.1,18,0.0000,1
0.1,19,0.0325,1
0.15,0,0.2084,1
0.15,1,0.0301,1
0.15,2,0.1680,1
0.15,3,0.0824,1
0.15,4,0.1728,1
0.15,5,0.1656,1
0.15,6,0.0943,1
0.15,7,0.1514,1
0.15,8,0.3035,1
0.15,9,0.0943,1
0.15,10,0.1323,1
0.15,11,0.1395,1
0.15,12,0.0896,1
0.15,13,0.2274,1
0.15,14,0.2322,1
0.15,15,0.1680,1
0.15,16,0.0824,1
0.15,17,0.1728,1
0.15,18,0.1656,1
0.15,19,0.0943,1
0.2,0,0.2037,1
0.2,1,0.1918,1
0.2,2,0.1609,1
0.2,3,0.2631,1
0.2,4,0.2108,1
0.2,5,0.1181,1
0.2,6,0.0896,1
0.2,7,0.1918,1
0.2,8,0.0848,1
0.2,9,0.3106,1
0.2,10,0.1561,1
0.2,11,0.1609,1
0.2,12,0.3106,1
0.2,13,0.1561,1
0.2,14,0.1609,1
0.2,15,0.3106,1
0.2,16,0.1561,1
0.2,17,0.1609,1
0.2,18,0.3106,1
0.2,19,0.1561,1
0.25,0,0.1823,1
0.25,1,0.1252,1
0.25,2,0.3415,1
0.25,3,0.2845,1
0.25,4,0.2203,1
0.25,5,0.2298,1
0.25,6,0.1751,1
0.25,7,0.2369,1
0.25,8,0.2227,1
0.25,9,0.2322,1
0.25,10,0.1751,1
0.25,11,0.2251,1
0.25,12,0.2607,1
0.25,13,0.3011,1
0.25,14,0.3035,1
0.25,15,0.2084,1
0.25,16,0.2227,1
0.25,17,0.2322,1
0.25,18,0.2251,1
0.25,19,0.2369,1
0.3,0,0.3154,1
0.3,1,0.3083,1
0.3,2,0.2892,1
0.3,3,0.2631,1
0.3,4,0.3106,1
0.3,5,0.3083,1
0.3,6,0.2940,1
0.3,7,0.3463,1
0.3,8,0.2845,1
0.3,9,0.2251,1
0.3,10,0.3392,1
0.3,11,0.2678,1
0.3,12,0.2583,1
0.3,13,0.3106,1
0.3,14,0.3083,1
0.3,15,0.2940,1
0.3,16,0.3463,1
0.3,17,0.2845,1
0.3,18,0.2251,1
0.3,19,0.3392,1
