restriction,rows,b0,w_rr,w_ls,w_pt,auc,mcc,precision,recall,n_flagged
full corpus,53200,-2.3166,1.1621,0.5031,1.6150,0.9793,0.7956,0.9730,0.8276,74
variant = standard,7700,-3.0179,1.4784,0.6792,1.8227,0.9829,0.7848,0.9726,0.8161,73
variant = weak-loadings,7700,-2.6672,0.5140,0.7611,1.8275,0.9680,0.6527,0.9667,0.6667,60
variant = correlated-factors,8750,-2.1193,1.0422,0.5195,1.5532,0.9798,0.7635,0.9718,0.7931,71
variant = no-reverse-keying,8750,-2.2682,1.3024,0.1876,1.7863,0.9673,0.7280,0.9846,0.7356,65
variant = 7-point,10150,-2.2998,1.2254,1.0726,1.5154,0.9823,0.6887,0.9836,0.6897,61
variant = mixed-scales,10150,-2.0720,1.3470,0.4882,1.4584,0.9824,0.8400,0.9744,0.8736,78
rate = 5% only,13300,-6.4082,1.6915,0.3267,1.9912,0.9736,0.7893,0.9859,0.8046,71
rate = 15% only,13300,-4.6218,1.5046,0.6152,2.2470,0.9770,0.7848,0.9726,0.8161,73
rate = 30% only,13300,-2.8003,1.4392,0.4866,2.6731,0.9693,0.7530,0.9714,0.7816,70
rate = 50% only,13300,-0.1661,1.7949,0.4527,4.0380,0.9589,0.6887,0.9836,0.6897,61
short only (J <= 60),15200,-1.9998,0.9525,0.5588,1.4419,0.9801,0.7426,0.9710,0.7701,69
long only (J >= 120),22800,-2.5921,1.3789,0.4646,1.6970,0.9796,0.8176,0.9737,0.8506,76
small n only (n = 150),8400,-2.3025,1.0088,0.4907,1.6491,0.9775,0.7530,0.9714,0.7816,70
