"dataset","J","additive","quadratic","signed_sq","pos_sq"
"warning300",301,0.726360062893082,0.746324685534591,0.737232704402516,0.736588050314465
"smarvus",141,0.832112912105312,0.789509179780888,0.839843986528387,0.765013408277706
"opsy_16pf",163,0.681231154349434,0.657250952949878,0.697624330496834,0.639809328749421
"douglas",50,0.503620294129696,0.506773878286721,0.495567718300298,0.508788485284737
"duckworth",50,0.468992332532513,0.468744994871635,0.467073995471818,0.472314613504636
"krause",49,0.741966591605918,0.735947737363714,0.743346946045316,0.734422350291974
"alvarez19",6,0.72219758561222,0.720307605673459,0.722890930208003,0.721620385035019
"ivanov21",41,0.761511216056671,0.753673094582185,0.756940345008527,0.757903712449167
"mastroianni22",100,0.495455349248453,0.425216622458002,0.535313881520778,0.433633952254642
"moss23",8,0.500192106528647,0.320009816023915,0.539860245598901,0.332638031639326
"ogrady19",30,0.675003532570298,0.654514624841034,0.65938957185248,0.667373180726296
"pennycook20",30,0.593227691709701,0.595323865844855,0.598329307568438,0.593831556444
