rate,n,engine,mcc,precision,recall,flag_share,pi_hat,silent_frac
0.05,74,gateless,0.7499,0.8978,0.6975,0.0484,0.0484,0.010
0.05,74,gated,0.5361,0.8765,0.5225,0.0380,0.0380,0.310
0.1,78,gateless,0.7971,0.9341,0.7300,0.0829,0.0829,0.000
0.1,78,gated,0.7432,0.9283,0.6900,0.0788,0.0788,0.080
0.15,82,gateless,0.8159,0.9200,0.7817,0.1284,0.1284,0.000
0.15,82,gated,0.8023,0.9184,0.7717,0.1270,0.1270,0.020
0.2,88,gateless,0.8318,0.9184,0.8172,0.1842,0.1842,0.000
0.2,88,gated,0.8318,0.9184,0.8172,0.1842,0.1842,0.000
0.25,93,gateless,0.8278,0.9373,0.8052,0.2147,0.2147,0.000
0.25,93,gated,0.8278,0.9373,0.8052,0.2147,0.2147,0.000
0.3,100,gateless,0.8301,0.9472,0.8127,0.2588,0.2588,0.000
0.3,100,gated,0.8301,0.9472,0.8127,0.2588,0.2588,0.000
0.4,117,gateless,0.8046,0.9789,0.7757,0.3188,0.3188,0.000
0.4,117,gated,0.8046,0.9789,0.7757,0.3188,0.3188,0.000
0.5,140,gateless,0.7458,0.9935,0.7217,0.3634,0.3634,0.000
0.5,140,gated,0.7458,0.9935,0.7217,0.3634,0.3634,0.000
full,157,gateless,0.7639,1.0000,0.7586,0.4204,,
full,157,gated,0.7639,1.0000,0.7586,0.4204,,
